Tarih,TP_IN_KL2_OFIS_DEV_B
2015-09-01,84273.0
2015-10-01,48053.0
2015-11-01,46747.0
2015-12-01,240283.6
2016-01-01,45754.0
2016-02-01,55152.4
2016-03-01,55480.1
2016-04-01,219771.5
2016-05-01,460395.0
2016-06-01,133363.3
2016-07-01,110731.0
2016-08-01,60886.0
2016-09-01,170816.1
2016-10-01,239301.0
2016-11-01,204874.0
2016-12-01,137929.9
2017-01-01,164810.0
2017-02-01,143703.2
2017-03-01,117846.0
2017-04-01,202946.0
2017-05-01,97498.0
2017-06-01,93459.0
2017-07-01,52367.0
2017-08-01,32250.0
2017-09-01,80321.0
2017-10-01,103273.7
2017-11-01,402134.6
2017-12-01,44199.0
2018-01-01,425289.2
2018-02-01,160038.6
2018-03-01,124233.8
2018-04-01,79712.0
2018-05-01,60854.9
2018-06-01,181621.0
2018-07-01,83100.6
2018-08-01,22396.0
2018-09-01,51353.8
2018-10-01,48560.8
2018-11-01,70811.7
2018-12-01,107751.0
2019-01-01,54925.7
2019-02-01,296882.0
2019-03-01,183782.0
2019-04-01,46444.7
2019-05-01,121345.7
2019-06-01,38133.5
2019-07-01,21001.6
2019-08-01,42069.0
2019-09-01,57503.0
2019-10-01,35448.0
2019-11-01,57800.4
2019-12-01,71270.5
2020-01-01,38996.0
2020-02-01,120397.0
2020-03-01,154322.5
2020-04-01,4473.0
2020-05-01,35686.3
2020-06-01,12281.9
2020-07-01,278932.3
2020-08-01,11430.0
2020-09-01,13094.7
2020-10-01,37556.9
2020-11-01,67726.0
2020-12-01,95577.8
2021-01-01,32250.3
2021-02-01,36846.6
2021-03-01,198276.0
2021-04-01,304078.6
2021-05-01,15690.9
2021-06-01,76116.4
2021-07-01,20172.0
2021-08-01,26245.7
2021-09-01,30435.1
2021-10-01,62676.0
2021-11-01,50530.4
2021-12-01,100348.1
2022-01-01,180039.6
2022-02-01,38228.2
2022-03-01,111657.8
2022-04-01,76851.2
2022-05-01,75021.6
2022-06-01,69093.0
2022-07-01,136516.1
2022-08-01,92387.2
2022-09-01,107624.4
2022-10-01,108983.9
2022-11-01,90746.6
2022-12-01,252665.9
2023-01-01,104208.5
2023-02-01,77633.5
2023-03-01,60259.9
2023-04-01,28020.8
2023-05-01,47906.5
2023-06-01,46439.9
2023-07-01,49633.0
2023-08-01,51336.2
2023-09-01,200890.6
2023-10-01,155322.8
2023-11-01,22733.2
2023-12-01,439087.7
2024-01-01,91272.5
2024-02-01,524309.3
2024-03-01,87027.2
2024-04-01,308116.7
2024-05-01,114461.7
2024-06-01,86649.3
2024-07-01,221398.4
2024-08-01,63135.9
2024-09-01,178376.0
2024-10-01,60572.1
2024-11-01,190770.0
2024-12-01,754440.0
2025-01-01,36271.5
2025-02-01,117952.9
2025-03-01,46262.3
2025-04-01,20039.5
2025-05-01,271983.8
2025-06-01,68384.3
