Tarih,TP_IN_KL2_TRAFIK_DEV_B
2015-11-01,7195.0
2015-12-01,97749.0
2016-01-01,455.0
2016-02-01,29946.0
2016-03-01,10677.0
2016-04-01,46478.3
2016-05-01,10907.0
2016-06-01,4892.0
2016-07-01,
2016-08-01,11671.0
2016-09-01,
2016-10-01,19699.0
2016-11-01,73445.0
2016-12-01,1772.0
2017-01-01,33887.0
2017-02-01,
2017-03-01,61882.0
2017-04-01,18404.0
2017-05-01,11790.0
2017-06-01,6999.0
2017-07-01,20031.0
2017-08-01,61398.0
2017-09-01,
2017-10-01,23056.0
2017-11-01,32155.0
2017-12-01,34169.0
2018-01-01,28120.0
2018-02-01,28887.0
2018-03-01,8036.0
2018-04-01,13374.0
2018-05-01,22703.0
2018-06-01,81815.0
2018-07-01,10560.0
2018-08-01,1640.0
2018-09-01,2611.0
2018-10-01,28825.0
2018-11-01,14703.0
2018-12-01,27926.7
2019-01-01,19964.0
2019-02-01,15408.0
2019-03-01,235362.0
2019-04-01,15585.0
2019-05-01,25286.0
2019-06-01,93.0
2019-07-01,2974.0
2019-08-01,8706.0
2019-09-01,29893.0
2019-10-01,3570.0
2019-11-01,
2019-12-01,90378.0
2020-01-01,69991.0
2020-02-01,37908.0
2020-03-01,1300.0
2020-04-01,8614.0
2020-05-01,100.0
2020-06-01,1429.0
2020-07-01,24759.7
2020-08-01,
2020-09-01,12420.0
2020-10-01,12883.0
2020-11-01,16838.0
2020-12-01,16644.4
2021-01-01,535.0
2021-02-01,71683.0
2021-03-01,3014.0
2021-04-01,33937.0
2021-05-01,6662.0
2021-06-01,21849.0
2021-07-01,76742.0
2021-08-01,7257.4
2021-09-01,
2021-10-01,56070.4
2021-11-01,35104.2
2021-12-01,2757.8
2022-01-01,3887.0
2022-02-01,
2022-03-01,17206.4
2022-04-01,204527.2
2022-05-01,1499.2
2022-06-01,36304.0
2022-07-01,
2022-08-01,2542.0
2022-09-01,10329.7
2022-10-01,31568.4
2022-11-01,4565.8
2022-12-01,8697.0
2023-01-01,60.0
2023-02-01,8837.6
2023-03-01,17694.1
2023-04-01,9922.7
2023-05-01,366.0
2023-06-01,28592.0
2023-07-01,
2023-08-01,18528.3
2023-09-01,4561.7
2023-10-01,1491.0
2023-11-01,26592.6
2023-12-01,15339.6
2024-01-01,8337.8
2024-02-01,631.0
2024-03-01,13593.8
2024-04-01,14825.8
2024-05-01,
2024-06-01,61637.2
2024-07-01,1148.0
2024-08-01,12426.6
2024-09-01,17836.9
2024-10-01,13118.1
2024-11-01,6953.0
2024-12-01,31969.9
2025-01-01,7213.0
2025-02-01,288.0
2025-03-01,19619.7
2025-04-01,42613.1
