Tarih,TP_IN_KL2_TOPLAM_OZE_D
2015-09-01,48062.0
2015-10-01,49315.0
2015-11-01,53598.0
2015-12-01,87439.0
2016-01-01,45373.0
2016-02-01,49328.0
2016-03-01,59193.0
2016-04-01,55758.0
2016-05-01,55144.0
2016-06-01,61635.0
2016-07-01,38770.0
2016-08-01,55194.0
2016-09-01,47189.0
2016-10-01,58538.0
2016-11-01,70553.0
2016-12-01,92155.0
2017-01-01,60283.0
2017-02-01,54267.0
2017-03-01,63262.0
2017-04-01,63211.0
2017-05-01,61455.0
2017-06-01,57899.0
2017-07-01,54694.0
2017-08-01,63586.0
2017-09-01,55019.0
2017-10-01,69677.0
2017-11-01,73400.0
2017-12-01,93324.0
2018-01-01,63362.0
2018-02-01,58254.0
2018-03-01,66110.0
2018-04-01,58291.0
2018-05-01,67052.0
2018-06-01,52910.0
2018-07-01,70315.0
2018-08-01,56769.0
2018-09-01,64198.0
2018-10-01,80775.0
2018-11-01,75896.0
2018-12-01,102511.0
2019-01-01,57718.0
2019-02-01,58525.0
2019-03-01,106805.0
2019-04-01,52898.0
2019-05-01,53457.0
2019-06-01,30720.0
2019-07-01,48331.0
2019-08-01,37307.0
2019-09-01,47653.0
2019-10-01,50181.0
2019-11-01,51112.0
2019-12-01,78990.0
2020-01-01,48739.0
2020-02-01,45410.0
2020-03-01,41947.0
2020-04-01,29066.0
2020-05-01,29938.0
2020-06-01,46334.0
2020-07-01,52608.0
2020-08-01,42927.0
2020-09-01,47400.0
2020-10-01,48133.0
2020-11-01,47722.0
2020-12-01,67451.0
2021-01-01,51862.0
2021-02-01,43073.0
2021-03-01,52037.0
2021-04-01,42907.0
2021-05-01,25789.0
2021-06-01,45230.0
2021-07-01,38494.0
2021-08-01,42556.0
2021-09-01,49799.0
2021-10-01,49922.0
2021-11-01,54897.0
2021-12-01,89676.0
2022-01-01,46046.0
2022-02-01,43351.0
2022-03-01,49536.0
2022-04-01,50206.0
2022-05-01,35428.0
2022-06-01,49970.0
2022-07-01,35557.0
2022-08-01,47376.0
2022-09-01,46760.0
2022-10-01,41051.0
2022-11-01,48147.0
2022-12-01,93279.0
2023-01-01,47330.0
2023-02-01,30245.0
2023-03-01,30434.0
2023-04-01,26772.0
2023-05-01,38489.0
2023-06-01,30508.0
2023-07-01,31266.0
2023-08-01,37141.0
2023-09-01,37929.0
2023-10-01,41136.0
2023-11-01,40002.0
2023-12-01,89932.0
2024-01-01,44739.0
2024-02-01,43699.0
2024-03-01,71248.0
2024-04-01,22909.0
2024-05-01,29614.0
2024-06-01,23300.0
2024-07-01,33352.0
2024-08-01,34360.0
2024-09-01,35885.0
2024-10-01,41094.0
2024-11-01,43303.0
2024-12-01,111201.0
2025-01-01,47076.0
2025-02-01,36209.0
2025-03-01,34901.0
2025-04-01,25994.0
2025-05-01,39748.0
2025-06-01,38916.0
