Tarih,TP_IN_KL2_EV_OZE_B
2015-09-01,247898.0
2015-10-01,261153.2
2015-11-01,330942.0
2015-12-01,433434.1
2016-01-01,253252.6
2016-02-01,255288.1
2016-03-01,282870.2
2016-04-01,278104.9
2016-05-01,306094.7
2016-06-01,377999.3
2016-07-01,255044.5
2016-08-01,367562.5
2016-09-01,266990.9
2016-10-01,302007.1
2016-11-01,366697.4
2016-12-01,422755.6
2017-01-01,344687.9
2017-02-01,252102.2
2017-03-01,314033.5
2017-04-01,339887.8
2017-05-01,337384.0
2017-06-01,322626.1
2017-07-01,361243.5
2017-08-01,385624.9
2017-09-01,325921.1
2017-10-01,391993.7
2017-11-01,399432.3
2017-12-01,442385.0
2018-01-01,322478.5
2018-02-01,301579.5
2018-03-01,280995.5
2018-04-01,349330.3
2018-05-01,368529.9
2018-06-01,333060.6
2018-07-01,380161.2
2018-08-01,331925.0
2018-09-01,353223.8
2018-10-01,404197.0
2018-11-01,458422.8
2018-12-01,467627.5
2019-01-01,316866.2
2019-02-01,271428.5
2019-03-01,487900.3
2019-04-01,229272.6
2019-05-01,254011.9
2019-06-01,202596.2
2019-07-01,265582.0
2019-08-01,224127.8
2019-09-01,227469.7
2019-10-01,251967.5
2019-11-01,257117.4
2019-12-01,329789.2
2020-01-01,217531.8
2020-02-01,184345.7
2020-03-01,213350.1
2020-04-01,133421.7
2020-05-01,169757.8
2020-06-01,310034.5
2020-07-01,349221.9
2020-08-01,266109.4
2020-09-01,304484.0
2020-10-01,355634.6
2020-11-01,336507.4
2020-12-01,483497.9
2021-01-01,300564.9
2021-02-01,263782.3
2021-03-01,341136.1
2021-04-01,343860.9
2021-05-01,220631.3
2021-06-01,424441.8
2021-07-01,433637.0
2021-08-01,437001.5
2021-09-01,496950.3
2021-10-01,466590.5
2021-11-01,505474.8
2021-12-01,767842.9
2022-01-01,403893.3
2022-02-01,350628.7
2022-03-01,445605.6
2022-04-01,521464.1
2022-05-01,382805.5
2022-06-01,541478.3
2022-07-01,408632.5
2022-08-01,626276.3
2022-09-01,591562.4
2022-10-01,655124.9
2022-11-01,642891.4
2022-12-01,1076501.0
2023-01-01,594869.3
2023-02-01,400483.4
2023-03-01,435772.5
2023-04-01,404766.8
2023-05-01,501358.9
2023-06-01,474576.3
2023-07-01,500222.2
2023-08-01,563285.0
2023-09-01,486395.9
2023-10-01,567801.1
2023-11-01,517867.0
2023-12-01,1136649.6
2024-01-01,645790.2
2024-02-01,623525.5
2024-03-01,1171395.1
2024-04-01,356075.0
2024-05-01,447572.8
2024-06-01,363669.9
2024-07-01,512072.5
2024-08-01,575342.3
2024-09-01,559362.2
2024-10-01,611693.4
2024-11-01,599231.6
2024-12-01,1206745.5
2025-01-01,619321.9
2025-02-01,458238.4
2025-03-01,426880.7
2025-04-01,378085.8
2025-05-01,476602.9
2025-06-01,524913.9
