Tarih,TP_IN_KL2_DIGER_OZE_B
2015-09-01,292325.2
2015-10-01,343385.4
2015-11-01,390343.6
2015-12-01,594892.9
2016-01-01,202384.7
2016-02-01,254646.0
2016-03-01,245241.8
2016-04-01,373384.3
2016-05-01,334633.5
2016-06-01,444609.9
2016-07-01,235735.7
2016-08-01,366964.1
2016-09-01,414395.7
2016-10-01,508986.0
2016-11-01,616644.3
2016-12-01,571480.2
2017-01-01,149463.3
2017-02-01,107486.9
2017-03-01,152944.4
2017-04-01,165150.3
2017-05-01,160277.8
2017-06-01,163080.5
2017-07-01,137900.8
2017-08-01,112994.1
2017-09-01,129193.8
2017-10-01,212124.4
2017-11-01,243173.8
2017-12-01,354331.6
2018-01-01,234955.0
2018-02-01,254519.3
2018-03-01,336440.5
2018-04-01,312496.7
2018-05-01,242656.8
2018-06-01,220048.3
2018-07-01,249505.7
2018-08-01,222999.8
2018-09-01,229281.1
2018-10-01,358877.0
2018-11-01,415241.6
2018-12-01,352989.6
2019-01-01,273773.4
2019-02-01,194071.4
2019-03-01,431488.6
2019-04-01,176459.2
2019-05-01,176574.9
2019-06-01,155879.7
2019-07-01,144562.8
2019-08-01,115506.7
2019-09-01,161135.2
2019-10-01,176524.1
2019-11-01,199539.0
2019-12-01,308489.6
2020-01-01,117939.3
2020-02-01,145878.9
2020-03-01,95890.6
2020-04-01,81525.4
2020-05-01,102967.4
2020-06-01,126009.5
2020-07-01,197896.9
2020-08-01,99910.6
2020-09-01,158881.7
2020-10-01,150607.4
2020-11-01,161373.7
2020-12-01,355758.1
2021-01-01,213666.3
2021-02-01,135801.8
2021-03-01,232435.0
2021-04-01,137759.3
2021-05-01,110860.5
2021-06-01,198478.8
2021-07-01,95556.3
2021-08-01,123341.8
2021-09-01,145734.9
2021-10-01,131730.5
2021-11-01,229690.2
2021-12-01,309592.4
2022-01-01,142175.9
2022-02-01,173571.2
2022-03-01,163613.6
2022-04-01,162813.1
2022-05-01,199470.2
2022-06-01,149657.5
2022-07-01,114867.7
2022-08-01,137077.8
2022-09-01,168407.1
2022-10-01,170029.5
2022-11-01,177774.2
2022-12-01,245527.2
2023-01-01,175138.6
2023-02-01,146504.6
2023-03-01,126436.1
2023-04-01,126347.1
2023-05-01,139240.8
2023-06-01,61162.4
2023-07-01,137926.8
2023-08-01,134473.0
2023-09-01,108241.9
2023-10-01,109294.7
2023-11-01,151209.3
2023-12-01,268189.9
2024-01-01,189372.2
2024-02-01,214737.1
2024-03-01,262770.9
2024-04-01,59091.3
2024-05-01,159196.1
2024-06-01,141379.6
2024-07-01,95536.3
2024-08-01,139827.5
2024-09-01,168552.9
2024-10-01,131864.5
2024-11-01,154205.8
2024-12-01,393550.2
2025-01-01,109842.1
2025-02-01,113033.2
2025-03-01,97579.8
2025-04-01,90211.2
2025-05-01,122748.5
2025-06-01,81450.6
