Tarih,TP_IN_KL2_OFIS_TOP_B
2015-09-01,604206.1
2015-10-01,279104.5
2015-11-01,396552.9
2015-12-01,1239691.0
2016-01-01,389524.6
2016-02-01,331334.1
2016-03-01,309537.5
2016-04-01,437093.9
2016-05-01,706148.7
2016-06-01,496815.1
2016-07-01,429581.0
2016-08-01,342913.0
2016-09-01,508593.4
2016-10-01,741208.3
2016-11-01,1196544.5
2016-12-01,1005997.1
2017-01-01,654670.7
2017-02-01,497116.7
2017-03-01,952060.0
2017-04-01,895538.1
2017-05-01,563879.6
2017-06-01,599735.4
2017-07-01,300177.2
2017-08-01,639944.3
2017-09-01,401517.3
2017-10-01,547444.7
2017-11-01,823130.1
2017-12-01,475857.6
2018-01-01,1169130.0
2018-02-01,546274.8
2018-03-01,788586.2
2018-04-01,515290.4
2018-05-01,478728.8
2018-06-01,612409.2
2018-07-01,167782.1
2018-08-01,78507.2
2018-09-01,322769.4
2018-10-01,235339.4
2018-11-01,125644.4
2018-12-01,192426.2
2019-01-01,154066.1
2019-02-01,351315.4
2019-03-01,336709.9
2019-04-01,80636.4
2019-05-01,196297.6
2019-06-01,280400.8
2019-07-01,126266.1
2019-08-01,91210.3
2019-09-01,157693.1
2019-10-01,60575.0
2019-11-01,82881.3
2019-12-01,145607.8
2020-01-01,121929.0
2020-02-01,392686.0
2020-03-01,527794.0
2020-04-01,15265.3
2020-05-01,76805.4
2020-06-01,77905.9
2020-07-01,322385.8
2020-08-01,145784.9
2020-09-01,281000.0
2020-10-01,448296.1
2020-11-01,418517.6
2020-12-01,317103.1
2021-01-01,62219.5
2021-02-01,72767.0
2021-03-01,402947.0
2021-04-01,618083.2
2021-05-01,223255.2
2021-06-01,431766.3
2021-07-01,232682.6
2021-08-01,258257.4
2021-09-01,227448.3
2021-10-01,476923.9
2021-11-01,501399.4
2021-12-01,718598.2
2022-01-01,388257.4
2022-02-01,380473.8
2022-03-01,547355.5
2022-04-01,794161.4
2022-05-01,270046.5
2022-06-01,468634.9
2022-07-01,465528.2
2022-08-01,543672.0
2022-09-01,415242.0
2022-10-01,387713.5
2022-11-01,562250.1
2022-12-01,1454332.0
2023-01-01,480757.2
2023-02-01,306053.1
2023-03-01,366177.5
2023-04-01,246542.2
2023-05-01,307533.2
2023-06-01,334621.0
2023-07-01,398921.6
2023-08-01,361458.1
2023-09-01,468226.5
2023-10-01,571829.5
2023-11-01,298691.6
2023-12-01,1366325.9
2024-01-01,517819.0
2024-02-01,844251.6
2024-03-01,898604.7
2024-04-01,631025.0
2024-05-01,428081.5
2024-06-01,270108.8
2024-07-01,397162.4
2024-08-01,333752.9
2024-09-01,384679.4
2024-10-01,514118.0
2024-11-01,704972.3
2024-12-01,1537775.8
2025-01-01,334462.0
2025-02-01,282645.1
2025-03-01,366382.6
2025-04-01,209385.4
2025-05-01,638821.2
2025-06-01,429799.5
