Tarih,TP_IN_KL2_EV_DEV_B
2015-11-01,6482.0
2015-12-01,6701.5
2016-01-01,1466.7
2016-02-01,
2016-03-01,4163.0
2016-04-01,1588.5
2016-05-01,4039.0
2016-06-01,30197.0
2016-07-01,417.0
2016-08-01,1644.0
2016-09-01,2199.0
2016-10-01,4668.8
2016-11-01,1646.3
2016-12-01,25169.0
2017-01-01,971.0
2017-02-01,3459.5
2017-03-01,4686.2
2017-04-01,6123.0
2017-05-01,1140.0
2017-06-01,16533.0
2017-07-01,2882.0
2017-08-01,1809.0
2017-09-01,71934.4
2017-10-01,1722.0
2017-11-01,891.0
2017-12-01,2080.0
2018-01-01,1230.0
2018-02-01,2290.2
2018-03-01,14410.0
2018-04-01,3238.0
2018-05-01,22266.7
2018-06-01,1485.5
2018-07-01,12611.0
2018-08-01,1126.0
2018-09-01,1266.0
2018-10-01,1787.9
2018-11-01,11522.0
2018-12-01,34631.3
2019-01-01,1569.9
2019-02-01,4420.0
2019-03-01,5227.0
2019-04-01,14089.0
2019-05-01,2084.2
2019-06-01,854.0
2019-07-01,1043.0
2019-08-01,1065.0
2019-09-01,1051.7
2019-10-01,1447.0
2019-11-01,19017.0
2019-12-01,11133.2
2020-01-01,12408.9
2020-02-01,1768.0
2020-03-01,613.0
2020-04-01,40869.2
2020-05-01,1749.0
2020-06-01,2143.0
2020-07-01,36212.0
2020-08-01,4458.0
2020-09-01,8208.8
2020-10-01,42690.3
2020-11-01,11088.1
2020-12-01,1747.9
2021-01-01,6422.5
2021-02-01,26074.4
2021-03-01,34082.5
2021-04-01,15768.0
2021-05-01,10241.0
2021-06-01,7325.9
2021-07-01,7403.8
2021-08-01,16008.1
2021-09-01,1771.4
2021-10-01,21114.7
2021-11-01,806.0
2021-12-01,91184.0
2022-01-01,46681.6
2022-02-01,9632.6
2022-03-01,114041.7
2022-04-01,2014.7
2022-05-01,7313.2
2022-06-01,19244.5
2022-07-01,31423.3
2022-08-01,29837.8
2022-09-01,20999.8
2022-10-01,23545.7
2022-11-01,9005.8
2022-12-01,24222.8
2023-01-01,60022.7
2023-02-01,12151.6
2023-03-01,9244.6
2023-04-01,4785.8
2023-05-01,18782.0
2023-06-01,2884.1
2023-07-01,936.6
2023-08-01,23006.4
2023-09-01,18414.4
2023-10-01,1836.2
2023-11-01,11346.7
2023-12-01,4449.6
2024-01-01,83199.5
2024-02-01,9542.0
2024-03-01,42528.2
2024-04-01,89093.6
2024-05-01,26112.5
2024-06-01,2305.0
2024-07-01,3073.6
2024-08-01,11170.8
2024-09-01,10190.1
2024-10-01,3540.9
2024-11-01,22506.9
2024-12-01,28324.3
2025-01-01,12634.5
2025-02-01,13003.2
2025-03-01,4475.6
2025-04-01,14953.0
2025-05-01,17356.4
2025-06-01,85956.6
