Tarih,TP_IN_KL2_APT_KOP_D
2015-10-01,1190.0
2015-11-01,1184.0
2015-12-01,2202.0
2016-01-01,1435.0
2016-02-01,1355.0
2016-03-01,988.0
2016-04-01,1046.0
2016-05-01,944.0
2016-06-01,1436.0
2016-07-01,760.0
2016-08-01,1730.0
2016-09-01,959.0
2016-10-01,1530.0
2016-11-01,2763.0
2016-12-01,3173.0
2017-01-01,1330.0
2017-02-01,1306.0
2017-03-01,1199.0
2017-04-01,1782.0
2017-05-01,1410.0
2017-06-01,1234.0
2017-07-01,1059.0
2017-08-01,1417.0
2017-09-01,1039.0
2017-10-01,2774.0
2017-11-01,1598.0
2017-12-01,1845.0
2018-01-01,1303.0
2018-02-01,689.0
2018-03-01,1589.0
2018-04-01,652.0
2018-05-01,1060.0
2018-06-01,1237.0
2018-07-01,740.0
2018-08-01,1329.0
2018-09-01,700.0
2018-10-01,1326.0
2018-11-01,2930.0
2018-12-01,1482.0
2019-01-01,1384.0
2019-02-01,1505.0
2019-03-01,2027.0
2019-04-01,423.0
2019-05-01,581.0
2019-06-01,394.0
2019-07-01,543.0
2019-08-01,812.0
2019-09-01,842.0
2019-10-01,727.0
2019-11-01,942.0
2019-12-01,1311.0
2020-01-01,1061.0
2020-02-01,573.0
2020-03-01,1580.0
2020-04-01,703.0
2020-05-01,563.0
2020-06-01,490.0
2020-07-01,500.0
2020-08-01,1049.0
2020-09-01,435.0
2020-10-01,563.0
2020-11-01,603.0
2020-12-01,1980.0
2021-01-01,503.0
2021-02-01,965.0
2021-03-01,738.0
2021-04-01,415.0
2021-05-01,359.0
2021-06-01,836.0
2021-07-01,358.0
2021-08-01,284.0
2021-09-01,899.0
2021-10-01,473.0
2021-11-01,953.0
2021-12-01,1180.0
2022-01-01,630.0
2022-02-01,583.0
2022-03-01,1047.0
2022-04-01,372.0
2022-05-01,258.0
2022-06-01,927.0
2022-07-01,563.0
2022-08-01,589.0
2022-09-01,394.0
2022-10-01,424.0
2022-11-01,534.0
2022-12-01,1072.0
2023-01-01,191.0
2023-02-01,408.0
2023-03-01,229.0
2023-04-01,278.0
2023-05-01,646.0
2023-06-01,367.0
2023-07-01,400.0
2023-08-01,204.0
2023-09-01,452.0
2023-10-01,731.0
2023-11-01,918.0
2023-12-01,1586.0
2024-01-01,569.0
2024-02-01,370.0
2024-03-01,942.0
2024-04-01,146.0
2024-05-01,576.0
2024-06-01,312.0
2024-07-01,328.0
2024-08-01,347.0
2024-09-01,608.0
2024-10-01,479.0
2024-11-01,690.0
2024-12-01,1468.0
2025-01-01,417.0
2025-02-01,331.0
2025-03-01,318.0
2025-04-01,199.0
2025-05-01,296.0
2025-06-01,386.0
