Tarih,TP_IN_KL2_DIGER_TOP_B
2015-09-01,356021.2
2015-10-01,389129.9
2015-11-01,451610.6
2015-12-01,722859.9
2016-01-01,251173.7
2016-02-01,314338.0
2016-03-01,285036.6
2016-04-01,408669.8
2016-05-01,371234.5
2016-06-01,531420.7
2016-07-01,275214.7
2016-08-01,481598.3
2016-09-01,475675.7
2016-10-01,564550.0
2016-11-01,707215.4
2016-12-01,608457.4
2017-01-01,382569.5
2017-02-01,201748.0
2017-03-01,244111.2
2017-04-01,217725.4
2017-05-01,274096.4
2017-06-01,243239.5
2017-07-01,172202.8
2017-08-01,177118.1
2017-09-01,168895.5
2017-10-01,279701.9
2017-11-01,330968.2
2017-12-01,404751.6
2018-01-01,492087.2
2018-02-01,357724.2
2018-03-01,449159.3
2018-04-01,424045.3
2018-05-01,331589.5
2018-06-01,276493.8
2018-07-01,325330.9
2018-08-01,335479.5
2018-09-01,351112.6
2018-10-01,411909.0
2018-11-01,527195.7
2018-12-01,428604.5
2019-01-01,362677.6
2019-02-01,464288.4
2019-03-01,612116.4
2019-04-01,259463.2
2019-05-01,258225.1
2019-06-01,354675.5
2019-07-01,272734.7
2019-08-01,258286.5
2019-09-01,264077.2
2019-10-01,238598.1
2019-11-01,254897.0
2019-12-01,486471.6
2020-01-01,192379.4
2020-02-01,231696.9
2020-03-01,832015.5
2020-04-01,138462.1
2020-05-01,137023.4
2020-06-01,228985.5
2020-07-01,287468.4
2020-08-01,170189.7
2020-09-01,243638.1
2020-10-01,221440.9
2020-11-01,211525.7
2020-12-01,511262.6
2021-01-01,240501.8
2021-02-01,450286.5
2021-03-01,315315.0
2021-04-01,209215.0
2021-05-01,138297.1
2021-06-01,283076.5
2021-07-01,280381.0
2021-08-01,237688.2
2021-09-01,460887.3
2021-10-01,256123.2
2021-11-01,287956.2
2021-12-01,604177.2
2022-01-01,185707.0
2022-02-01,208862.9
2022-03-01,346663.7
2022-04-01,334690.7
2022-05-01,259311.0
2022-06-01,386490.4
2022-07-01,496706.4
2022-08-01,196025.6
2022-09-01,243272.5
2022-10-01,196696.0
2022-11-01,373896.3
2022-12-01,538444.6
2023-01-01,229079.5
2023-02-01,178690.5
2023-03-01,158784.3
2023-04-01,201840.5
2023-05-01,305596.1
2023-06-01,99852.5
2023-07-01,178063.8
2023-08-01,196696.6
2023-09-01,159398.4
2023-10-01,144374.4
2023-11-01,219460.4
2023-12-01,313262.6
2024-01-01,249059.7
2024-02-01,258821.6
2024-03-01,370727.0
2024-04-01,72514.3
2024-05-01,183027.7
2024-06-01,174184.6
2024-07-01,124474.3
2024-08-01,192413.7
2024-09-01,248563.4
2024-10-01,161313.6
2024-11-01,217687.5
2024-12-01,530302.8
2025-01-01,164728.5
2025-02-01,145069.2
2025-03-01,167373.9
2025-04-01,100165.3
2025-05-01,191092.7
2025-06-01,109034.7
