Tarih,TP_IN_KL2_OTEL_DEV_B
2015-10-01,33230.0
2015-11-01,9805.0
2015-12-01,20739.0
2016-01-01,17960.6
2016-02-01,32998.0
2016-03-01,16415.0
2016-04-01,8969.0
2016-05-01,15467.0
2016-06-01,14602.0
2016-07-01,63976.4
2016-08-01,8962.0
2016-09-01,13244.0
2016-10-01,3880.0
2016-11-01,21575.0
2016-12-01,76100.0
2017-01-01,20683.0
2017-02-01,5470.0
2017-03-01,12077.0
2017-04-01,63208.0
2017-05-01,20104.0
2017-06-01,13601.0
2017-07-01,23219.0
2017-08-01,7408.0
2017-09-01,24085.0
2017-10-01,13187.0
2017-11-01,20934.0
2017-12-01,14851.0
2018-01-01,22204.0
2018-02-01,20193.0
2018-03-01,38994.0
2018-04-01,6333.1
2018-05-01,11698.6
2018-06-01,11490.0
2018-07-01,28076.0
2018-08-01,18384.0
2018-09-01,13774.0
2018-10-01,13145.0
2018-11-01,16236.0
2018-12-01,6104.0
2019-01-01,21835.0
2019-02-01,6076.0
2019-03-01,18710.0
2019-04-01,9373.0
2019-05-01,1451.0
2019-06-01,22201.0
2019-07-01,3534.3
2019-08-01,10929.0
2019-09-01,50037.2
2019-10-01,30526.6
2019-11-01,15551.0
2019-12-01,39692.0
2020-01-01,20249.0
2020-02-01,33524.0
2020-03-01,11231.0
2020-04-01,600.0
2020-05-01,54301.0
2020-06-01,933.0
2020-07-01,47338.0
2020-08-01,564.0
2020-09-01,22835.0
2020-10-01,16862.0
2020-11-01,2786.0
2020-12-01,12565.0
2021-01-01,8415.0
2021-02-01,32717.0
2021-03-01,120230.0
2021-04-01,82377.0
2021-05-01,77573.6
2021-06-01,6251.0
2021-07-01,32322.0
2021-08-01,11862.5
2021-09-01,4458.0
2021-10-01,2380.0
2021-11-01,4436.0
2021-12-01,11770.9
2022-01-01,67287.2
2022-02-01,2964.0
2022-03-01,8838.6
2022-04-01,8371.8
2022-05-01,41914.2
2022-06-01,18009.8
2022-07-01,18984.7
2022-08-01,20839.9
2022-09-01,7779.4
2022-10-01,6490.0
2022-11-01,2075.1
2022-12-01,37216.2
2023-01-01,17520.5
2023-02-01,15034.0
2023-03-01,110.5
2023-04-01,17616.7
2023-05-01,5057.5
2023-06-01,17548.8
2023-07-01,737.1
2023-08-01,1419.5
2023-09-01,12341.2
2023-10-01,8418.0
2023-11-01,7679.0
2023-12-01,14910.5
2024-01-01,16741.0
2024-02-01,6265.7
2024-03-01,5837.9
2024-04-01,
2024-05-01,506.4
2024-06-01,
2024-07-01,6411.5
2024-08-01,26461.1
2024-09-01,17399.0
2024-10-01,34043.6
2024-11-01,8889.6
2024-12-01,12317.0
2025-01-01,20812.8
2025-02-01,2822.0
2025-03-01,8764.7
2025-04-01,19172.1
2025-05-01,6577.1
2025-06-01,35145.5
