Tarih,TP_IN_KL2_SANAYI_DEV_B
2015-09-01,34689.9
2015-10-01,1830.0
2015-11-01,3604.0
2015-12-01,24783.0
2016-01-01,4964.0
2016-02-01,31541.0
2016-03-01,21329.9
2016-04-01,25022.0
2016-05-01,4317.0
2016-06-01,50402.0
2016-07-01,9784.0
2016-08-01,7209.0
2016-09-01,13474.0
2016-10-01,4984.0
2016-11-01,35373.8
2016-12-01,12334.0
2017-01-01,20264.6
2017-02-01,15185.3
2017-03-01,29849.0
2017-04-01,20431.0
2017-05-01,1800.0
2017-06-01,13635.0
2017-07-01,21591.0
2017-08-01,9265.0
2017-09-01,39891.3
2017-10-01,8108.0
2017-11-01,5805.4
2017-12-01,23210.0
2018-01-01,35227.9
2018-02-01,21698.0
2018-03-01,6716.2
2018-04-01,89660.8
2018-05-01,52574.1
2018-06-01,3698.0
2018-07-01,4951.0
2018-08-01,2505.0
2018-09-01,52579.0
2018-10-01,33886.8
2018-11-01,13525.0
2018-12-01,50204.0
2019-01-01,25990.0
2019-02-01,31489.9
2019-03-01,15806.0
2019-04-01,18598.0
2019-05-01,12771.0
2019-06-01,2454.0
2019-07-01,48245.5
2019-08-01,33310.0
2019-09-01,17143.0
2019-10-01,300.0
2019-11-01,35336.8
2019-12-01,93954.0
2020-01-01,52934.5
2020-02-01,6583.7
2020-03-01,22704.4
2020-04-01,7199.0
2020-05-01,6676.2
2020-06-01,16694.0
2020-07-01,8774.0
2020-08-01,9566.0
2020-09-01,9580.0
2020-10-01,28700.0
2020-11-01,51311.0
2020-12-01,6500.0
2021-01-01,74631.1
2021-02-01,30026.0
2021-03-01,203429.0
2021-04-01,5709.0
2021-05-01,9328.0
2021-06-01,4031.4
2021-07-01,2710.5
2021-08-01,3464.7
2021-09-01,30136.3
2021-10-01,275482.0
2021-11-01,2138.0
2021-12-01,127315.0
2022-01-01,5110.0
2022-02-01,6649.3
2022-03-01,9867.3
2022-04-01,12679.0
2022-05-01,6278.9
2022-06-01,2922.5
2022-07-01,6443.4
2022-08-01,8528.5
2022-09-01,26036.1
2022-10-01,280692.3
2022-11-01,34918.4
2022-12-01,23061.7
2023-01-01,5641.4
2023-02-01,590.0
2023-03-01,41369.0
2023-04-01,1221.3
2023-05-01,12855.5
2023-06-01,122.0
2023-07-01,9593.6
2023-08-01,83921.4
2023-09-01,20958.1
2023-10-01,46801.4
2023-11-01,14298.5
2023-12-01,24478.4
2024-01-01,55362.4
2024-02-01,78598.0
2024-03-01,25302.0
2024-04-01,5595.2
2024-05-01,14053.6
2024-06-01,8572.4
2024-07-01,12558.2
2024-08-01,13364.3
2024-09-01,28938.7
2024-10-01,71755.1
2024-11-01,148814.7
2024-12-01,55595.7
2025-01-01,339703.3
2025-02-01,24987.0
2025-03-01,18303.6
2025-04-01,43281.5
2025-05-01,23490.0
2025-06-01,84286.4
