Tarih,TP_IN_KL2_OFIS_OZE_B
2015-09-01,482816.1
2015-10-01,227766.5
2015-11-01,348992.9
2015-12-01,967437.8
2016-01-01,343067.6
2016-02-01,270394.7
2016-03-01,253002.3
2016-04-01,214839.7
2016-05-01,243119.6
2016-06-01,363095.8
2016-07-01,288223.0
2016-08-01,280152.9
2016-09-01,336773.2
2016-10-01,492296.3
2016-11-01,988390.5
2016-12-01,814504.1
2017-01-01,457670.5
2017-02-01,342469.5
2017-03-01,826228.9
2017-04-01,688894.3
2017-05-01,460201.6
2017-06-01,498505.4
2017-07-01,224054.2
2017-08-01,592228.3
2017-09-01,315116.3
2017-10-01,431241.0
2017-11-01,395959.4
2017-12-01,396834.6
2018-01-01,741488.8
2018-02-01,372937.1
2018-03-01,660316.3
2018-04-01,434573.4
2018-05-01,415874.9
2018-06-01,377590.2
2018-07-01,83801.4
2018-08-01,56111.2
2018-09-01,271014.6
2018-10-01,185658.6
2018-11-01,54832.6
2018-12-01,84474.2
2019-01-01,99140.3
2019-02-01,45576.4
2019-03-01,150868.9
2019-04-01,34191.6
2019-05-01,74951.8
2019-06-01,220099.3
2019-07-01,104560.4
2019-08-01,49141.3
2019-09-01,100190.1
2019-10-01,25127.0
2019-11-01,25080.8
2019-12-01,67846.3
2020-01-01,82932.9
2020-02-01,271654.0
2020-03-01,372267.5
2020-04-01,10792.3
2020-05-01,41119.1
2020-06-01,65623.9
2020-07-01,43453.4
2020-08-01,129033.9
2020-09-01,235031.3
2020-10-01,402372.2
2020-11-01,349369.6
2020-12-01,219411.3
2021-01-01,27189.2
2021-02-01,35920.3
2021-03-01,201235.0
2021-04-01,292579.5
2021-05-01,206977.3
2021-06-01,354325.1
2021-07-01,210978.6
2021-08-01,230694.7
2021-09-01,195881.2
2021-10-01,340993.0
2021-11-01,444983.0
2021-12-01,611521.1
2022-01-01,198708.5
2022-02-01,326191.4
2022-03-01,434542.2
2022-04-01,715342.2
2022-05-01,194825.0
2022-06-01,395048.3
2022-07-01,326552.1
2022-08-01,449643.8
2022-09-01,304568.5
2022-10-01,275930.0
2022-11-01,447701.0
2022-12-01,1201184.8
2023-01-01,259061.3
2023-02-01,209656.6
2023-03-01,305037.6
2023-04-01,215519.7
2023-05-01,258473.6
2023-06-01,283739.8
2023-07-01,344696.6
2023-08-01,308920.9
2023-09-01,192269.2
2023-10-01,384676.7
2023-11-01,275159.4
2023-12-01,912547.1
2024-01-01,421162.3
2024-02-01,318933.2
2024-03-01,798567.4
2024-04-01,142053.5
2024-05-01,313619.8
2024-06-01,182714.5
2024-07-01,160139.0
2024-08-01,267888.0
2024-09-01,206303.4
2024-10-01,442717.1
2024-11-01,511581.3
2024-12-01,778341.6
2025-01-01,294905.5
2025-02-01,163217.1
2025-03-01,317608.3
2025-04-01,189345.8
2025-05-01,363515.4
2025-06-01,361415.1
