Tarih,TP_IN_KL2_TOPLAM_TOP_B
2015-04-01,11756026.7
2015-05-01,12189041.4
2015-06-01,15545275.5
2015-07-01,11567808.9
2015-08-01,12175722.8
2015-09-01,10913963.1
2015-10-01,12030760.7
2015-11-01,11475825.0
2015-12-01,21144550.2
2016-01-01,10251967.3
2016-02-01,11543359.2
2016-03-01,13082312.1
2016-04-01,13443694.7
2016-05-01,13521590.2
2016-06-01,13995213.6
2016-07-01,9094647.5
2016-08-01,13364271.3
2016-09-01,11751806.5
2016-10-01,13853358.5
2016-11-01,16918219.8
2016-12-01,22177990.9
2017-01-01,14578205.8
2017-02-01,12264334.8
2017-03-01,15679395.6
2017-04-01,13904320.6
2017-05-01,13745810.9
2017-06-01,12266935.0
2017-07-01,12282233.1
2017-08-01,13937965.4
2017-09-01,12663587.1
2017-10-01,15735166.4
2017-11-01,16334941.3
2017-12-01,19732209.5
2018-01-01,15688730.8
2018-02-01,12739156.2
2018-03-01,15294625.7
2018-04-01,13146660.7
2018-05-01,16707121.0
2018-06-01,12723006.3
2018-07-01,15219384.5
2018-08-01,12953478.5
2018-09-01,14716765.0
2018-10-01,16935622.0
2018-11-01,17514095.4
2018-12-01,23375816.6
2019-01-01,14459687.3
2019-02-01,14539309.4
2019-03-01,26173681.2
2019-04-01,12417044.2
2019-05-01,12004243.1
2019-06-01,7168166.1
2019-07-01,11855734.4
2019-08-01,9208214.1
2019-09-01,11139008.4
2019-10-01,11285534.0
2019-11-01,11427796.2
2019-12-01,18168864.5
2020-01-01,11846561.0
2020-02-01,10571128.1
2020-03-01,11689887.5
2020-04-01,6746898.3
2020-05-01,7333569.1
2020-06-01,10983830.2
2020-07-01,12140155.3
2020-08-01,9993710.9
2020-09-01,10583991.4
2020-10-01,11365186.3
2020-11-01,10534147.2
2020-12-01,16132795.1
2021-01-01,11157221.0
2021-02-01,10663912.9
2021-03-01,13459248.3
2021-04-01,9977730.2
2021-05-01,6223042.0
2021-06-01,10222080.3
2021-07-01,9143955.8
2021-08-01,10024184.6
2021-09-01,10876720.1
2021-10-01,12128561.9
2021-11-01,12521363.1
2021-12-01,20818429.9
2022-01-01,11342604.5
2022-02-01,10092519.6
2022-03-01,11672420.0
2022-04-01,12068091.3
2022-05-01,8519422.3
2022-06-01,11815837.1
2022-07-01,8411515.2
2022-08-01,10882615.3
2022-09-01,10986340.4
2022-10-01,10392156.7
2022-11-01,11560681.0
2022-12-01,22822960.5
2023-01-01,11776809.6
2023-02-01,7657347.3
2023-03-01,7972284.0
2023-04-01,6788063.1
2023-05-01,9460756.0
2023-06-01,7288632.1
2023-07-01,7403374.1
2023-08-01,9162837.3
2023-09-01,9306740.8
2023-10-01,9353696.8
2023-11-01,10177481.3
2023-12-01,22342274.2
2024-01-01,11342365.7
2024-02-01,11884792.8
2024-03-01,18368169.7
2024-04-01,6594644.7
2024-05-01,8005033.4
2024-06-01,6297139.7
2024-07-01,8615841.2
2024-08-01,8895864.1
2024-09-01,9585153.1
2024-10-01,10746450.1
2024-11-01,11917793.6
2024-12-01,25951570.0
2025-01-01,11623824.2
2025-02-01,9830997.3
2025-03-01,9791261.6
2025-04-01,7238518.0
2025-05-01,10628835.7
2025-06-01,9331670.2
