Tarih,TP_ALTINADT_SBIRLIK
2016-01-01,18327.0
2016-02-01,149.0
2016-03-01,149.0
2016-04-01,6556.0
2016-05-01,
2016-06-01,298.0
2016-07-01,6705.0
2016-08-01,
2016-09-01,
2016-10-01,178949.0
2016-11-01,31290.0
2016-12-01,642637.0
2017-01-01,4470.0
2017-02-01,32929.0
2017-03-01,133057.0
2017-04-01,62729.0
2017-05-01,380844.0
2017-06-01,308430.0
2017-07-01,279673.0
2017-08-01,5513.0
2017-09-01,745.0
2017-10-01,11026.0
2017-11-01,10281.0
2017-12-01,273415.0
2018-01-01,133355.0
2018-02-01,192657.0
2018-03-01,119945.0
2018-04-01,118753.0
2018-05-01,113985.0
2018-06-01,125905.0
2018-07-01,40677.0
2018-08-01,7450.0
2018-09-01,447.0
2018-10-01,33674.0
2018-11-01,200107.0
2018-12-01,137527.0
2019-01-01,187442.0
2019-02-01,134696.0
2019-03-01,349256.0
2019-04-01,106982.0
2019-05-01,18029.0
2019-06-01,48425.0
2019-07-01,1639.0
2019-08-01,745.0
2019-09-01,96701.0
2019-10-01,227672.0
2019-11-01,488720.0
2019-12-01,307238.0
2020-01-01,357451.0
2020-02-01,373841.0
2020-03-01,558154.0
2020-04-01,170605.0
2020-05-01,314539.0
2020-06-01,659325.0
2020-07-01,859730.0
2020-08-01,1246534.0
2020-09-01,816818.0
2020-10-01,164496.0
2020-11-01,973715.0
2020-12-01,735166.0
2021-01-01,440742.0
2021-02-01,324373.0
2021-03-01,746490.0
2021-04-01,1639.0
2021-05-01,
2021-06-01,596.0
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,149.0
2021-11-01,5513.0
2021-12-01,133802.0
2022-01-01,119945.0
2022-02-01,134398.0
2022-03-01,27118.0
2022-04-01,60941.0
2022-05-01,136633.0
2022-06-01,5364.0
2022-07-01,179843.0
2022-08-01,219030.0
2022-09-01,530738.0
2022-10-01,520308.0
2022-11-01,302768.0
2022-12-01,296957.0
2023-01-01,712965.0
2023-02-01,695234.0
2023-03-01,310367.0
2023-04-01,548320.0
2023-05-01,757516.0
2023-06-01,261495.0
2023-07-01,32631.0
2023-08-01,400065.0
2023-09-01,195339.0
2023-10-01,419286.0
2023-11-01,311410.0
2023-12-01,355812.0
2024-01-01,401108.0
2024-02-01,494531.0
2024-03-01,487826.0
2024-04-01,618797.0
2024-05-01,136484.0
2024-06-01,1192.0
2024-07-01,1788.0
2024-08-01,10728.0
2024-09-01,136037.0
2024-10-01,365050.0
2024-11-01,535804.0
2024-12-01,188634.0
2025-01-01,58557.0
2025-02-01,265369.0
2025-03-01,232887.0
2025-04-01,227225.0
2025-05-01,158387.0
2025-06-01,4917.0
2025-07-01,1490.0
2025-08-01,1043.0
2025-09-01,289954.0
