Tarih,TP_ALTINADT_ZCEYREK
2015-09-01,2440.0
2015-10-01,8540.0
2015-11-01,315370.0
2015-12-01,206790.0
2016-01-01,593530.0
2016-02-01,201300.0
2016-03-01,374540.0
2016-04-01,549610.0
2016-05-01,422730.0
2016-06-01,205570.0
2016-07-01,367220.0
2016-08-01,515450.0
2016-09-01,442250.0
2016-10-01,533750.0
2016-11-01,107970.0
2016-12-01,238510.0
2017-01-01,491660.0
2017-02-01,337330.0
2017-03-01,539850.0
2017-04-01,572790.0
2017-05-01,1786080.0
2017-06-01,1193770.0
2017-07-01,1742160.0
2017-08-01,539240.0
2017-09-01,372710.0
2017-10-01,84180.0
2017-11-01,13420.0
2017-12-01,89670.0
2018-01-01,722850.0
2018-02-01,466040.0
2018-03-01,467870.0
2018-04-01,579500.0
2018-05-01,336110.0
2018-06-01,583160.0
2018-07-01,651480.0
2018-08-01,47580.0
2018-09-01,181170.0
2018-10-01,250100.0
2018-11-01,337330.0
2018-12-01,264740.0
2019-01-01,628300.0
2019-02-01,378810.0
2019-03-01,649040.0
2019-04-01,636230.0
2019-05-01,245220.0
2019-06-01,513010.0
2019-07-01,400160.0
2019-08-01,239120.0
2019-09-01,417850.0
2019-10-01,433100.0
2019-11-01,794220.0
2019-12-01,540460.0
2020-01-01,602070.0
2020-02-01,584380.0
2020-03-01,889990.0
2020-04-01,100040.0
2020-05-01,581940.0
2020-06-01,993690.0
2020-07-01,828990.0
2020-08-01,2136830.0
2020-09-01,870650.0
2020-10-01,300107.0
2020-11-01,1610400.0
2020-12-01,603290.0
2021-01-01,2150860.0
2021-02-01,2791360.0
2021-03-01,3318400.0
2021-04-01,8540.0
2021-05-01,610.0
2021-06-01,206790.0
2021-07-01,287310.0
2021-08-01,685030.0
2021-09-01,267790.0
2021-10-01,7930.0
2021-11-01,
2021-12-01,1220.0
2022-01-01,824110.0
2022-02-01,438590.0
2022-03-01,284260.0
2022-04-01,421510.0
2022-05-01,929030.0
2022-06-01,364170.0
2022-07-01,910730.0
2022-08-01,1187670.0
2022-09-01,2217350.0
2022-10-01,1812310.0
2022-11-01,796050.0
2022-12-01,422212.0
2023-01-01,2211250.0
2023-02-01,2243580.0
2023-03-01,1312110.0
2023-04-01,1643950.0
2023-05-01,2607750.0
2023-06-01,995520.0
2023-07-01,976610.0
2023-08-01,1517070.0
2023-09-01,1066890.0
2023-10-01,1180960.0
2023-11-01,1205360.0
2023-12-01,836920.0
2024-01-01,1826950.0
2024-02-01,2260660.0
2024-03-01,2460130.0
2024-04-01,3053660.0
2024-05-01,1443870.0
2024-06-01,368440.0
2024-07-01,287310.0
2024-08-01,384910.0
2024-09-01,392840.0
2024-10-01,533750.0
2024-11-01,972950.0
2024-12-01,133590.0
2025-01-01,1215730.0
2025-02-01,736270.0
2025-03-01,719190.0
2025-04-01,915000.0
2025-05-01,583770.0
2025-06-01,280600.0
2025-07-01,294630.0
2025-08-01,294630.0
2025-09-01,592310.0
