Tarih,TP_ALTINADT_TOPL2
2015-10-01,0.0
2015-11-01,64509.0
2015-12-01,137714.0
2016-01-01,22050.0
2016-02-01,1907.0
2016-03-01,449.0
2016-04-01,13553.0
2016-05-01,5840.0
2016-06-01,7419.0
2016-07-01,16823.0
2016-08-01,9886.0
2016-09-01,14112.0
2016-10-01,205579.0
2016-11-01,38233.0
2016-12-01,681695.0
2017-01-01,9834.0
2017-02-01,42674.0
2017-03-01,152833.0
2017-04-01,82505.0
2017-05-01,426284.0
2017-06-01,350254.0
2017-07-01,334304.0
2017-08-01,22125.0
2017-09-01,21589.0
2017-10-01,18058.0
2017-11-01,16300.0
2017-12-01,304332.0
2018-01-01,149679.0
2018-02-01,212670.0
2018-03-01,138439.0
2018-04-01,140316.0
2018-05-01,131675.0
2018-06-01,148836.0
2018-07-01,64853.0
2018-08-01,8226.0
2018-09-01,7099.0
2018-10-01,43744.0
2018-11-01,225779.0
2018-12-01,156794.0
2019-01-01,205194.0
2019-02-01,148013.0
2019-03-01,374868.0
2019-04-01,128543.0
2019-05-01,24228.0
2019-06-01,64086.0
2019-07-01,19885.0
2019-08-01,10065.0
2019-09-01,121685.0
2019-10-01,263795.0
2019-11-01,531389.0
2019-12-01,336465.0
2020-01-01,391529.0
2020-02-01,402292.0
2020-03-01,580083.0
2020-04-01,178229.0
2020-05-01,332052.0
2020-06-01,704133.0
2020-07-01,885472.0
2020-08-01,1321998.0
2020-09-01,856031.0
2020-10-01,188863.0
2020-11-01,1009591.0
2020-12-01,806413.0
2021-01-01,478964.0
2021-02-01,376399.0
2021-03-01,861731.0
2021-04-01,2415.0
2021-05-01,90.0
2021-06-01,3544.0
2021-07-01,4439.0
2021-08-01,15542.0
2021-09-01,12592.0
2021-10-01,2619.0
2021-11-01,10577.0
2021-12-01,155687.0
2022-01-01,139268.0
2022-02-01,147709.0
2022-03-01,40366.0
2022-04-01,72642.0
2022-05-01,150363.0
2022-06-01,13200.0
2022-07-01,202570.0
2022-08-01,247591.0
2022-09-01,575783.0
2022-10-01,580382.0
2022-11-01,354959.0
2022-12-01,320179.0
2023-01-01,780378.0
2023-02-01,739033.0
2023-03-01,336074.0
2023-04-01,567654.0
2023-05-01,801808.0
2023-06-01,310458.0
2023-07-01,74071.0
2023-08-01,441391.0
2023-09-01,248506.0
2023-10-01,467010.0
2023-11-01,368124.0
2023-12-01,385433.0
2024-01-01,442035.0
2024-02-01,544057.0
2024-03-01,529406.0
2024-04-01,724649.0
2024-05-01,180178.0
2024-06-01,5839.0
2024-07-01,10425.0
2024-08-01,24962.0
2024-09-01,160874.0
2024-10-01,418295.0
2024-11-01,580224.0
2024-12-01,222008.0
2025-01-01,95054.0
2025-02-01,300236.0
2025-03-01,268552.0
2025-04-01,256790.0
2025-05-01,204108.0
2025-06-01,15725.0
2025-07-01,14140.0
2025-08-01,8427.0
2025-09-01,317579.0
