Tarih,TP_ALTINADT_ZIKIBUCUK
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,22258.0
2010-02-01,11656.0
2010-03-01,10788.0
2010-04-01,17856.0
2010-05-01,2108.0
2010-06-01,6944.0
2010-07-01,25110.0
2010-08-01,27404.0
2010-09-01,25482.0
2010-10-01,14446.0
2010-11-01,7874.0
2010-12-01,5394.0
2011-01-01,47678.0
2011-02-01,14012.0
2011-03-01,14756.0
2011-04-01,11470.0
2011-05-01,10354.0
2011-06-01,16368.0
2011-07-01,26536.0
2011-08-01,30752.0
2011-09-01,24924.0
2011-10-01,19220.0
2011-11-01,5828.0
2011-12-01,4712.0
2012-01-01,36394.0
2012-02-01,6200.0
2012-03-01,13516.0
2012-04-01,11036.0
2012-05-01,20894.0
2012-06-01,16182.0
2012-07-01,12152.0
2012-08-01,14632.0
2012-09-01,1302.0
2012-10-01,682.0
2012-11-01,6076.0
2012-12-01,4340.0
2013-01-01,41478.0
2013-02-01,17050.0
2013-03-01,49476.0
2013-04-01,22072.0
2013-05-01,54498.0
2013-06-01,30070.0
2013-07-01,10850.0
2013-08-01,
2013-09-01,
2013-10-01,11346.0
2013-11-01,25420.0
2013-12-01,44764.0
2014-01-01,11222.0
2014-02-01,49972.0
2014-03-01,62.0
2014-04-01,9176.0
2014-05-01,10726.0
2014-06-01,18538.0
2014-07-01,2976.0
2014-08-01,7626.0
2014-09-01,9238.0
2014-10-01,7440.0
2014-11-01,36828.0
2014-12-01,5704.0
2015-01-01,14508.0
2015-02-01,2666.0
2015-03-01,3100.0
2015-04-01,2046.0
2015-05-01,4712.0
2015-06-01,3038.0
2015-07-01,24304.0
2015-08-01,7006.0
2015-09-01,
2015-10-01,
