Tarih,TP_ALTINADT_ZIKIBUCUK
2015-11-01,5642.0
2015-12-01,7874.0
2016-01-01,13888.0
2016-02-01,1550.0
2016-03-01,4154.0
2016-04-01,5642.0
2016-05-01,2542.0
2016-06-01,2418.0
2016-07-01,2852.0
2016-08-01,6572.0
2016-09-01,8990.0
2016-10-01,17918.0
2016-11-01,2046.0
2016-12-01,24862.0
2017-01-01,14446.0
2017-02-01,5642.0
2017-03-01,12586.0
2017-04-01,8742.0
2017-05-01,30008.0
2017-06-01,31186.0
2017-07-01,31000.0
2017-08-01,10726.0
2017-09-01,9734.0
2017-10-01,3720.0
2017-11-01,558.0
2017-12-01,7192.0
2018-01-01,19344.0
2018-02-01,11408.0
2018-03-01,9610.0
2018-04-01,9672.0
2018-05-01,5952.0
2018-06-01,10416.0
2018-07-01,7874.0
2018-08-01,1178.0
2018-09-01,2666.0
2018-10-01,3100.0
2018-11-01,8556.0
2018-12-01,9176.0
2019-01-01,18848.0
2019-02-01,8804.0
2019-03-01,21018.0
2019-04-01,11594.0
2019-05-01,2728.0
2019-06-01,5084.0
2019-07-01,4278.0
2019-08-01,3534.0
2019-09-01,8680.0
2019-10-01,11842.0
2019-11-01,28396.0
2019-12-01,22568.0
2020-01-01,20398.0
2020-02-01,18848.0
2020-03-01,19778.0
2020-04-01,6448.0
2020-05-01,14446.0
2020-06-01,34968.0
2020-07-01,42656.0
2020-08-01,74586.0
2020-09-01,37076.0
2020-10-01,9424.0
2020-11-01,40610.0
2020-12-01,20584.0
2021-01-01,54126.0
2021-02-01,15562.0
2021-03-01,55056.0
2021-04-01,62.0
2021-05-01,
2021-06-01,930.0
2021-07-01,1860.0
2021-08-01,12524.0
2021-09-01,1426.0
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,16306.0
2022-02-01,4836.0
2022-03-01,2046.0
2022-04-01,4030.0
2022-05-01,10292.0
2022-06-01,3906.0
2022-07-01,19406.0
2022-08-01,26536.0
2022-09-01,39432.0
2022-10-01,36270.0
2022-11-01,17794.0
2022-12-01,15438.0
2023-01-01,62000.0
2023-02-01,43648.0
2023-03-01,36890.0
2023-04-01,42160.0
2023-05-01,41664.0
2023-06-01,22258.0
2023-07-01,16182.0
2023-08-01,28148.0
2023-09-01,19654.0
2023-10-01,25420.0
2023-11-01,19530.0
2023-12-01,12338.0
2024-01-01,31620.0
2024-02-01,22010.0
2024-03-01,30194.0
2024-04-01,31372.0
2024-05-01,15376.0
2024-06-01,5394.0
2024-07-01,6076.0
2024-08-01,10726.0
2024-09-01,12028.0
2024-10-01,17236.0
2024-11-01,23126.0
2024-12-01,3906.0
2025-01-01,16988.0
2025-02-01,7502.0
2025-03-01,7874.0
2025-04-01,12090.0
2025-05-01,10044.0
2025-06-01,4960.0
2025-07-01,2170.0
2025-08-01,3224.0
2025-09-01,9610.0
