Tarih,TP_ALTINADT_ZBIRLIK
2015-10-01,306.0
2015-11-01,62577.0
2015-12-01,86445.0
2016-01-01,115209.0
2016-02-01,22032.0
2016-03-01,47430.0
2016-04-01,76347.0
2016-05-01,42687.0
2016-06-01,34884.0
2016-07-01,34119.0
2016-08-01,59211.0
2016-09-01,73440.0
2016-10-01,134793.0
2016-11-01,23715.0
2016-12-01,122859.0
2017-01-01,101133.0
2017-02-01,54927.0
2017-03-01,91341.0
2017-04-01,72369.0
2017-05-01,221697.0
2017-06-01,240516.0
2017-07-01,236385.0
2017-08-01,85527.0
2017-09-01,87822.0
2017-10-01,24480.0
2017-11-01,14076.0
2017-12-01,77112.0
2018-01-01,187272.0
2018-02-01,113679.0
2018-03-01,104193.0
2018-04-01,99603.0
2018-05-01,62730.0
2018-06-01,97767.0
2018-07-01,74817.0
2018-08-01,5049.0
2018-09-01,26775.0
2018-10-01,32130.0
2018-11-01,89658.0
2018-12-01,92871.0
2019-01-01,164934.0
2019-02-01,78183.0
2019-03-01,176562.0
2019-04-01,95319.0
2019-05-01,27846.0
2019-06-01,47277.0
2019-07-01,38862.0
2019-08-01,28917.0
2019-09-01,62730.0
2019-10-01,80631.0
2019-11-01,175032.0
2019-12-01,126072.0
2020-01-01,139995.0
2020-02-01,110313.0
2020-03-01,145809.0
2020-04-01,27234.0
2020-05-01,83844.0
2020-06-01,186966.0
2020-07-01,195534.0
2020-08-01,392445.0
2020-09-01,233478.0
2020-10-01,48654.0
2020-11-01,368730.0
2020-12-01,184365.0
2021-01-01,506124.0
2021-02-01,196146.0
2021-03-01,513009.0
2021-04-01,459.0
2021-05-01,
2021-06-01,5355.0
2021-07-01,9027.0
2021-08-01,81549.0
2021-09-01,37026.0
2021-10-01,1530.0
2021-11-01,153.0
2021-12-01,
2022-01-01,167688.0
2022-02-01,57834.0
2022-03-01,26775.0
2022-04-01,51561.0
2022-05-01,106947.0
2022-06-01,49572.0
2022-07-01,147033.0
2022-08-01,168147.0
2022-09-01,411570.0
2022-10-01,308601.0
2022-11-01,127449.0
2022-12-01,124848.0
2023-01-01,457776.0
2023-02-01,425187.0
2023-03-01,298656.0
2023-04-01,280296.0
2023-05-01,370260.0
2023-06-01,192627.0
2023-07-01,162792.0
2023-08-01,333540.0
2023-09-01,231183.0
2023-10-01,306153.0
2023-11-01,213588.0
2023-12-01,190026.0
2024-01-01,356490.0
2024-02-01,251532.0
2024-03-01,317628.0
2024-04-01,410499.0
2024-05-01,162333.0
2024-06-01,67320.0
2024-07-01,101133.0
2024-08-01,109548.0
2024-09-01,141831.0
2024-10-01,166464.0
2024-11-01,262395.0
2024-12-01,69309.0
2025-01-01,224298.0
2025-02-01,107865.0
2025-03-01,104040.0
2025-04-01,149175.0
2025-05-01,104193.0
2025-06-01,76347.0
2025-07-01,67167.0
2025-08-01,70992.0
2025-09-01,255816.0
