Tarih,TP_ALTINADT_TOPL1
2015-08-01,629288.0
2015-09-01,6225.0
2015-10-01,32729.0
2015-11-01,456334.0
2015-12-01,332860.0
2016-01-01,846400.0
2016-02-01,257336.0
2016-03-01,483009.0
2016-04-01,711023.0
2016-05-01,531280.0
2016-06-01,278531.0
2016-07-01,449393.0
2016-08-01,651569.0
2016-09-01,593460.0
2016-10-01,772047.0
2016-11-01,154321.0
2016-12-01,431433.0
2017-01-01,713048.0
2017-02-01,452070.0
2017-03-01,732537.0
2017-04-01,736375.0
2017-05-01,2229821.0
2017-06-01,1618401.0
2017-07-01,2200723.0
2017-08-01,716442.0
2017-09-01,551644.0
2017-10-01,139406.0
2017-11-01,45289.0
2017-12-01,207648.0
2018-01-01,1090728.0
2018-02-01,679396.0
2018-03-01,672413.0
2018-04-01,787662.0
2018-05-01,459940.0
2018-06-01,794345.0
2018-07-01,816831.0
2018-08-01,59695.0
2018-09-01,243494.0
2018-10-01,325471.0
2018-11-01,491514.0
2018-12-01,417329.0
2019-01-01,956874.0
2019-02-01,524724.0
2019-03-01,952305.0
2019-04-01,841084.0
2019-05-01,318923.0
2019-06-01,637170.0
2019-07-01,502625.0
2019-08-01,311009.0
2019-09-01,567955.0
2019-10-01,607101.0
2019-11-01,1131698.0
2019-12-01,792986.0
2020-01-01,890842.0
2020-02-01,817091.0
2020-03-01,1173431.0
2020-04-01,155072.0
2020-05-01,758005.0
2020-06-01,1374839.0
2020-07-01,1173811.0
2020-08-01,2870555.0
2020-09-01,1273610.0
2020-10-01,411441.0
2020-11-01,2195482.0
2020-12-01,906816.0
2021-01-01,3085381.0
2021-02-01,3218584.0
2021-03-01,4466802.0
2021-04-01,9764.0
2021-05-01,610.0
2021-06-01,238819.0
2021-07-01,334952.0
2021-08-01,892232.0
2021-09-01,350989.0
2021-10-01,11657.0
2021-11-01,184.0
2021-12-01,1220.0
2022-01-01,1160061.0
2022-02-01,573426.0
2022-03-01,354380.0
2022-04-01,541885.0
2022-05-01,1158328.0
2022-06-01,480726.0
2022-07-01,1216740.0
2022-08-01,1544830.0
2022-09-01,2972716.0
2022-10-01,2440345.0
2022-11-01,1061923.0
2022-12-01,569546.0
2023-01-01,3095904.0
2023-02-01,3026813.0
2023-03-01,1874581.0
2023-04-01,2182134.0
2023-05-01,3341511.0
2023-06-01,1359555.0
2023-07-01,1334319.0
2023-08-01,2139445.0
2023-09-01,1542150.0
2023-10-01,1744519.0
2023-11-01,1645759.0
2023-12-01,1147621.0
2024-01-01,2550167.0
2024-02-01,2789487.0
2024-03-01,3208143.0
2024-04-01,3843355.0
2024-05-01,1832127.0
2024-06-01,508683.0
2024-07-01,470619.0
2024-08-01,591623.0
2024-09-01,649029.0
2024-10-01,839605.0
2024-11-01,1437082.0
2024-12-01,232730.0
2025-01-01,1708982.0
2025-02-01,981934.0
2025-03-01,950452.0
2025-04-01,1238649.0
2025-05-01,803935.0
2025-06-01,428216.0
2025-07-01,413775.0
2025-08-01,425426.0
2025-09-01,977022.0
