Tarih,TP_ALTINADT_ZYARIM
2015-10-01,23790.0
2015-11-01,72590.0
2015-12-01,31720.0
2016-01-01,123525.0
2016-02-01,32330.0
2016-03-01,56730.0
2016-04-01,79300.0
2016-05-01,63135.0
2016-06-01,35380.0
2016-07-01,45140.0
2016-08-01,70150.0
2016-09-01,68625.0
2016-10-01,85400.0
2016-11-01,20435.0
2016-12-01,45140.0
2017-01-01,105530.0
2017-02-01,53985.0
2017-03-01,88450.0
2017-04-01,82350.0
2017-05-01,191540.0
2017-06-01,152805.0
2017-07-01,190930.0
2017-08-01,80825.0
2017-09-01,81130.0
2017-10-01,26840.0
2017-11-01,17080.0
2017-12-01,33550.0
2018-01-01,160735.0
2018-02-01,88145.0
2018-03-01,90585.0
2018-04-01,98515.0
2018-05-01,54900.0
2018-06-01,102785.0
2018-07-01,82350.0
2018-08-01,5795.0
2018-09-01,32635.0
2018-10-01,39955.0
2018-11-01,55815.0
2018-12-01,50325.0
2019-01-01,144265.0
2019-02-01,58865.0
2019-03-01,105530.0
2019-04-01,97600.0
2019-05-01,43005.0
2019-06-01,71675.0
2019-07-01,59170.0
2019-08-01,39345.0
2019-09-01,78385.0
2019-10-01,81435.0
2019-11-01,133895.0
2019-12-01,103700.0
2020-01-01,128100.0
2020-02-01,103395.0
2020-03-01,117730.0
2020-04-01,21350.0
2020-05-01,77775.0
2020-06-01,158905.0
2020-07-01,106445.0
2020-08-01,266570.0
2020-09-01,132065.0
2020-10-01,53070.0
2020-11-01,175680.0
2020-12-01,98515.0
2021-01-01,373930.0
2021-02-01,215330.0
2021-03-01,579500.0
2021-04-01,610.0
2021-05-01,
2021-06-01,25620.0
2021-07-01,36600.0
2021-08-01,112850.0
2021-09-01,44530.0
2021-10-01,2135.0
2021-11-01,
2021-12-01,
2022-01-01,151585.0
2022-02-01,71980.0
2022-03-01,41175.0
2022-04-01,64660.0
2022-05-01,111935.0
2022-06-01,62830.0
2022-07-01,139385.0
2022-08-01,162260.0
2022-09-01,304085.0
2022-10-01,283040.0
2022-11-01,120475.0
2022-12-01,6893.0
2023-01-01,364475.0
2023-02-01,314150.0
2023-03-01,226615.0
2023-04-01,215635.0
2023-05-01,321775.0
2023-06-01,148840.0
2023-07-01,178425.0
2023-08-01,260470.0
2023-09-01,224175.0
2023-10-01,231800.0
2023-11-01,207095.0
2023-12-01,108275.0
2024-01-01,334890.0
2024-02-01,255285.0
2024-03-01,400160.0
2024-04-01,347700.0
2024-05-01,210145.0
2024-06-01,67405.0
2024-07-01,75945.0
2024-08-01,86315.0
2024-09-01,102175.0
2024-10-01,122000.0
2024-11-01,178425.0
2024-12-01,25925.0
2025-01-01,251625.0
2025-02-01,130235.0
2025-03-01,119255.0
2025-04-01,162260.0
2025-05-01,105835.0
2025-06-01,66185.0
2025-07-01,49715.0
2025-08-01,56425.0
2025-09-01,119255.0
