Tarih,TP_ALTINADT_TOPL3
2015-07-01,2443088.0
2015-08-01,668221.0
2015-09-01,6583.0
2015-10-01,32729.0
2015-11-01,520843.0
2015-12-01,470574.0
2016-01-01,868450.0
2016-02-01,259243.0
2016-03-01,483458.0
2016-04-01,724576.0
2016-05-01,537120.0
2016-06-01,285950.0
2016-07-01,466216.0
2016-08-01,661455.0
2016-09-01,607572.0
2016-10-01,977626.0
2016-11-01,192554.0
2016-12-01,1113128.0
2017-01-01,722882.0
2017-02-01,494744.0
2017-03-01,887490.0
2017-04-01,823120.0
2017-05-01,2656105.0
2017-06-01,1971835.0
2017-07-01,2537147.0
2017-08-01,739627.0
2017-09-01,573233.0
2017-10-01,157464.0
2017-11-01,61589.0
2017-12-01,511980.0
2018-01-01,1241467.0
2018-02-01,892066.0
2018-03-01,810852.0
2018-04-01,927978.0
2018-05-01,591615.0
2018-06-01,943181.0
2018-07-01,882744.0
2018-08-01,67921.0
2018-09-01,251653.0
2018-10-01,370275.0
2018-11-01,717293.0
2018-12-01,574123.0
2019-01-01,1162068.0
2019-02-01,672737.0
2019-03-01,1327173.0
2019-04-01,970687.0
2019-05-01,343151.0
2019-06-01,701256.0
2019-07-01,523570.0
2019-08-01,321074.0
2019-09-01,689640.0
2019-10-01,870896.0
2019-11-01,1702848.0
2019-12-01,1129451.0
2020-01-01,1282371.0
2020-02-01,1219383.0
2020-03-01,1753514.0
2020-04-01,333301.0
2020-05-01,1147368.0
2020-06-01,2080032.0
2020-07-01,2059283.0
2020-08-01,4193613.0
2020-09-01,2149892.0
2020-10-01,639120.0
2020-11-01,3206141.0
2020-12-01,1713847.0
2021-01-01,3585644.0
2021-02-01,3601677.0
2021-03-01,5331737.0
2021-04-01,12179.0
2021-05-01,700.0
2021-06-01,242363.0
2021-07-01,340468.0
2021-08-01,907774.0
2021-09-01,366812.0
2021-10-01,43028.0
2021-11-01,10761.0
2021-12-01,159061.0
2022-01-01,1304714.0
2022-02-01,722212.0
2022-03-01,394746.0
2022-04-01,615604.0
2022-05-01,1308691.0
2022-06-01,493926.0
2022-07-01,1427505.0
2022-08-01,1796444.0
2022-09-01,3553152.0
2022-10-01,3025793.0
2022-11-01,1423919.0
2022-12-01,897072.0
2023-01-01,3887000.0
2023-02-01,3773667.0
2023-03-01,2218568.0
2023-04-01,2758490.0
2023-05-01,4145530.0
2023-06-01,1680225.0
2023-07-01,1463029.0
2023-08-01,2630795.0
2023-09-01,1837104.0
2023-10-01,2262464.0
2023-11-01,2055216.0
2023-12-01,1565834.0
2024-01-01,3015682.0
2024-02-01,3350199.0
2024-03-01,3742566.0
2024-04-01,4585013.0
2024-05-01,2142044.0
2024-06-01,538304.0
2024-07-01,513532.0
2024-08-01,659693.0
2024-09-01,882921.0
2024-10-01,1328619.0
2024-11-01,2112254.0
2024-12-01,516361.0
2025-01-01,1847913.0
2025-02-01,1360098.0
2025-03-01,1294148.0
2025-04-01,1549971.0
2025-05-01,1105532.0
2025-06-01,444866.0
2025-07-01,429167.0
2025-08-01,437070.0
2025-09-01,1296896.0
