Tarih,TP_KB_GEL045
2024-03-01,79316.75
2024-04-01,248783.71
2024-05-01,194031.66
2024-06-01,89006.65
2024-07-01,257330.73
2024-08-01,261766.27
2024-09-01,178765.73
2024-10-01,272952.14
2024-11-01,138716.9
2024-12-01,260983.96
2025-01-01,277643.38
2025-02-01,103507.28
2025-03-01,231790.68
2025-04-01,355498.0
2025-05-01,258400.33
2025-06-01,121786.29
2025-07-01,541888.15
2025-08-01,144543.1
