Tarih,TP_KB_GEL009
2024-01-01,456527.81
2024-02-01,360892.81
2024-03-01,195373.47
2024-04-01,72388.67
2024-05-01,5599156.2
2024-06-01,658404.07
2024-07-01,534636.44
2024-08-01,2627951.82
2024-09-01,5736819.18
2024-10-01,1138446.32
2024-11-01,9225892.8
2024-12-01,2243334.81
2025-01-01,949868.93
2025-02-01,632112.28
2025-03-01,377529.23
2025-04-01,111822.0
2025-05-01,9399687.23
2025-06-01,1277690.87
2025-07-01,802145.34
2025-08-01,11488299.21
