Tarih,TP_KB_GEL014
2023-10-01,4556934.39
2023-11-01,11795360.55
2023-12-01,4411665.04
2024-01-01,23858023.99
2024-02-01,5390631.79
2024-03-01,2978150.05
2024-04-01,2409203.28
2024-05-01,3205524.9
2024-06-01,2890742.41
2024-07-01,22389756.75
2024-08-01,4923807.41
2024-09-01,2708022.1
2024-10-01,2469337.53
2024-11-01,2994747.85
2024-12-01,2790812.91
2025-01-01,36231315.78
2025-02-01,6892426.43
2025-03-01,4234503.74
2025-04-01,3423335.0
2025-05-01,4042263.02
2025-06-01,4514911.38
2025-07-01,35505044.91
2025-08-01,6813154.22
