Tarih,TP_KB_GEL085
2024-02-01,172889.52
2024-03-01,149162.81
2024-04-01,155497.07
2024-05-01,145332.57
2024-06-01,174578.11
2024-07-01,141575.04
2024-08-01,172123.57
2024-09-01,172615.87
2024-10-01,163661.9
2024-11-01,208667.85
2024-12-01,182250.61
2025-01-01,193487.35
2025-02-01,221818.4
2025-03-01,164661.07
2025-04-01,191730.0
2025-05-01,223334.89
2025-06-01,241425.86
2025-07-01,226669.3
2025-08-01,239549.32
