Tarih,TP_KB_GEL028
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,232708.0
2006-02-01,182914.0
2006-03-01,176725.0
2006-04-01,221577.0
2006-05-01,203891.0
2006-06-01,210005.0
2006-07-01,252799.0
2006-08-01,224129.0
2006-09-01,208198.0
2006-10-01,259131.0
2006-11-01,237014.0
2006-12-01,215163.0
2007-01-01,307079.0
2007-02-01,237143.0
2007-03-01,202679.0
2007-04-01,291169.0
2007-05-01,264773.0
2007-06-01,227544.0
2007-07-01,297817.0
2007-08-01,262696.0
2007-09-01,228671.0
2007-10-01,296874.0
2007-11-01,277380.0
2007-12-01,255321.0
2008-01-01,354570.0
2008-02-01,286895.0
2008-03-01,264741.0
2008-04-01,356423.0
2008-05-01,283524.0
2008-06-01,249857.0
2008-07-01,356949.0
2008-08-01,276924.0
2008-09-01,252686.0
2008-10-01,380681.0
2008-11-01,319855.0
2008-12-01,312053.0
2009-01-01,461385.0
2009-02-01,352232.0
2009-03-01,278443.0
2009-04-01,453687.0
2009-05-01,298639.0
2009-06-01,313290.0
2009-07-01,403732.0
2009-08-01,304187.0
2009-09-01,263953.0
2009-10-01,338213.0
2009-11-01,279277.0
2009-12-01,256053.0
2010-01-01,377202.0
2010-02-01,284312.0
2010-03-01,255676.0
2010-04-01,345529.0
2010-05-01,275609.0
2010-06-01,260043.0
2010-07-01,354060.0
2010-08-01,285582.0
2010-09-01,255241.0
2010-10-01,320839.0
2010-11-01,288947.0
2010-12-01,267494.0
2011-01-01,396235.0
2011-02-01,300254.0
2011-03-01,310215.0
2011-04-01,373770.0
2011-05-01,295389.0
2011-06-01,330087.0
2011-07-01,395699.0
2011-08-01,333467.0
2011-09-01,352171.0
2011-10-01,487295.0
2011-11-01,368478.0
2011-12-01,345291.0
2012-01-01,562042.0
2012-02-01,383329.0
2012-03-01,352504.0
2012-04-01,532728.0
2012-05-01,378755.0
2012-06-01,410629.0
2012-07-01,588061.0
2012-08-01,433425.0
2012-09-01,401301.0
2012-10-01,554716.0
2012-11-01,448895.0
2012-12-01,424321.0
2013-01-01,648447.0
2013-02-01,440418.0
2013-03-01,399420.0
2013-04-01,569941.0
2013-05-01,464524.0
2013-06-01,489480.0
2013-07-01,617606.0
2013-08-01,494749.0
2013-09-01,437687.0
2013-10-01,640939.0
2013-11-01,472911.0
2013-12-01,484048.0
2014-01-01,766151.0
2014-02-01,549238.0
2014-03-01,488516.0
2014-04-01,731491.0
2014-05-01,527895.0
