Tarih,TP_KB_GEL095
2023-12-01,2136117.59
2024-01-01,3210560.78
2024-02-01,11038987.34
2024-03-01,2170480.31
2024-04-01,2791409.88
2024-05-01,2813839.93
2024-06-01,3451393.9
2024-07-01,2918888.46
2024-08-01,2886575.81
2024-09-01,2812960.35
2024-10-01,2934513.24
2024-11-01,3310785.44
2024-12-01,3600206.96
2025-01-01,4069586.0
2025-02-01,9775625.14
2025-03-01,3457329.62
2025-04-01,12118367.0
2025-05-01,4743536.42
2025-06-01,5106114.1
2025-07-01,4855044.87
2025-08-01,3991567.94
