Tarih,TP_KB_GEL003
2022-09-01,173468233.0
2022-10-01,181806347.0
2022-11-01,312001112.0
2022-12-01,211513762.0
2023-01-01,252826266.0
2023-02-01,179619615.76
2023-03-01,198589739.68
2023-04-01,232703841.18
2023-05-01,507413997.01
2023-06-01,231158227.83
2023-07-01,450316111.03
2023-08-01,543182902.37
2023-09-01,386223893.69
2023-10-01,409426701.19
2023-11-01,668493161.88
2023-12-01,440911128.09
2024-01-01,517201252.02
2024-02-01,406290760.97
2024-03-01,420467894.47
2024-04-01,487855875.01
2024-05-01,898423555.37
2024-06-01,483125770.35
2024-07-01,611740664.8
2024-08-01,576708862.04
2024-09-01,732243893.43
2024-10-01,643604522.46
2024-11-01,819445921.39
2024-12-01,707754082.26
2025-01-01,792667161.28
2025-02-01,584957589.43
2025-03-01,645101354.19
2025-04-01,787391716.0
2025-05-01,1196409766.54
2025-06-01,764929215.51
2025-07-01,949836299.64
2025-08-01,1150402880.95
