Tarih,TP_KB_O06_USD
2000-01-01,50036178.69
2001-01-01,1241546.96
2002-01-01,8087614.79
2003-01-01,18901675.61
2004-01-01,34976799.13
2005-01-01,316637223.13
2006-01-01,463213832.49
2007-01-01,1537759018.51
2008-01-01,6650289.87
2009-01-01,5728895.64
2010-01-01,110502729.21
2011-01-01,136712855.79
2012-01-01,312305159.21
2013-01-01,407789255.42
2014-01-01,1053340726.01
2015-01-01,187511293.35
2016-01-01,198470763.26
2017-01-01,93243959.91
2018-01-01,95577317.35
2019-01-01,82284216.89
2020-01-01,21991800.15
2021-01-01,236911646.97
2022-01-01,441198887.25
2023-01-01,179149611.86
2024-01-01,121479236.52
