Tarih,TP_KB_O01_TRL
2000-01-01,945153060.68
2001-01-01,728336.5
2002-01-01,
2003-01-01,23813891.73
2004-01-01,1202009248.08
2005-01-01,9672106625.3
2006-01-01,9521704400.0
2007-01-01,1071028.0
2008-01-01,2517344700.0
2009-01-01,3612281000.0
2010-01-01,3963624475.0
2011-01-01,1101527500.0
2012-01-01,334662354.0
2013-01-01,16471812610.0
2014-01-01,
2015-01-01,12820000.0
2016-01-01,
2017-01-01,516092000.0
2018-01-01,20872600.0
2019-01-01,
2020-01-01,
2021-01-01,
2022-01-01,140000.0
