Tarih,TP_KB_O07_USD
2000-01-01,60855896.36
2001-01-01,63159549.48
2002-01-01,122305485.77
2003-01-01,8744721.3
2004-01-01,69098246.88
2005-01-01,30013470.74
2006-01-01,84149737.88
2007-01-01,124003838.45
2008-01-01,89923687.8
2009-01-01,4256262.51
2010-01-01,3887907.34
2011-01-01,6457498.29
2012-01-01,2251038.27
2013-01-01,19178261.18
2014-01-01,384101474.45
2015-01-01,54811675.44
2016-01-01,6255344.53
2017-01-01,95024829.66
2018-01-01,143962028.67
2019-01-01,451493.72
2020-01-01,277875.67
2021-01-01,1416186.51
2022-01-01,3910368.85
2023-01-01,1691209.33
2024-01-01,199972.75
