Tarih,TP_KB_O05_TRL
2000-01-01,
2001-01-01,
2002-01-01,387511684.5
2003-01-01,55443104.3
2004-01-01,226.34
2005-01-01,586119525.72
2006-01-01,6874740.15
2007-01-01,2915361.22
2008-01-01,
2009-01-01,
2010-01-01,306193.17
2011-01-01,
2012-01-01,
2013-01-01,131587.52
2014-01-01,5.25
2015-01-01,783.97
2016-01-01,
2017-01-01,23399145.35
2018-01-01,
2019-01-01,4483.84
