Tarih,TP_KB_O06_TRL
2000-01-01,30680205.7
2001-01-01,1521360.11
2002-01-01,12263577.07
2003-01-01,27623279.42
2004-01-01,49073896.9
2005-01-01,430229987.9
2006-01-01,653998509.16
2007-01-01,2004283422.55
2008-01-01,8555350.75
2009-01-01,9070747.75
2010-01-01,166564200.12
2011-01-01,221416666.71
2012-01-01,564645291.27
2013-01-01,786156037.08
2014-01-01,2289161557.1
2015-01-01,512062157.03
2016-01-01,615324368.94
2017-01-01,343279699.6
2018-01-01,399316709.55
2019-01-01,471538564.43
2020-01-01,144592850.0
2021-01-01,2254127684.99
2022-01-01,7597244000.0
2023-01-01,3914583000.0
2024-01-01,4100208000.0
