Tarih,TP_KB_O08_USD
2000-01-01,2716535851.05
2001-01-01,119801096.44
2002-01-01,536475541.86
2003-01-01,187087491.15
2004-01-01,1282842129.38
2005-01-01,8222240230.12
2006-01-01,8096165460.67
2007-01-01,4258629658.66
2008-01-01,6259205186.54
2009-01-01,2274985158.16
2010-01-01,3081691178.67
2011-01-01,1357954354.08
2012-01-01,3020692247.49
2013-01-01,12485548322.99
2014-01-01,6265892202.8
2015-01-01,1996040089.31
2016-01-01,1292532447.12
2017-01-01,750865035.85
2018-01-01,1358569025.73
2019-01-01,115939860.81
2020-01-01,22269675.83
2021-01-01,413098171.83
2022-01-01,504222715.33
2023-01-01,180840821.19
2024-01-01,121679209.27
