Tarih,TP_KB_O07_TRL
2000-01-01,38699768.67
2001-01-01,99287364.91
2002-01-01,167513858.34
2003-01-01,12538681.64
2004-01-01,96772790.49
2005-01-01,38722128.96
2006-01-01,133776877.8
2007-01-01,169123120.4
2008-01-01,107027126.56
2009-01-01,6582262.9
2010-01-01,5873757.31
2011-01-01,10718357.79
2012-01-01,3996606.21
2013-01-01,38003706.43
2014-01-01,817038704.44
2015-01-01,158049111.9
2016-01-01,21684410.14
2017-01-01,337861883.36
2018-01-01,655561136.05
2019-01-01,2562726.73
2020-01-01,1953926.17
2021-01-01,12576307.35
2022-01-01,71926244.3
2023-01-01,41848701.75
2024-01-01,6797034.82
