Tarih,TP_KB_O02_USD
2000-01-01,11451000.0
2001-01-01,54900000.0
2002-01-01,
2003-01-01,102335079.07
2004-01-01,109193000.0
2005-01-01,31491500.0
2006-01-01,157800000.0
2007-01-01,755000000.0
2008-01-01,2230000000.0
2009-01-01,
2010-01-01,384767796.61
2011-01-01,639784000.0
2012-01-01,
2013-01-01,3427020000.0
2014-01-01,4828450000.0
2015-01-01,1749500000.0
2016-01-01,1087806339.32
2017-01-01,414731822.84
2018-01-01,1114495931.83
2019-01-01,33203365.27
2020-01-01,
2021-01-01,174770338.35
2022-01-01,59103583.79
