Tarih,TP_KB_O08_TRL
2000-01-01,1675223040.31
2001-01-01,150774208.72
2002-01-01,794572520.71
2003-01-01,266620995.7
2004-01-01,1777807969.15
2005-01-01,11138987792.95
2006-01-01,10844949902.96
2007-01-01,5664287434.81
2008-01-01,7712550825.31
2009-01-01,3627934010.65
2010-01-01,4720324485.6
2011-01-01,2481735828.5
2012-01-01,5418204251.48
2013-01-01,23722273336.03
2014-01-01,14109924876.79
2015-01-01,5310950502.9
2016-01-01,3739233779.08
2017-01-01,2703572728.31
2018-01-01,6298170445.6
2019-01-01,660106777.0
2020-01-01,146546776.17
2021-01-01,4163213992.34
2022-01-01,8498180244.3
2023-01-01,3956431701.75
2024-01-01,4107005034.82
