Tarih,TP_KB_O02_TRL
2000-01-01,7053229.43
2001-01-01,49237147.2
2002-01-01,
2003-01-01,147202038.6
2004-01-01,160153116.43
2005-01-01,42288061.1
2006-01-01,217904250.0
2007-01-01,1010794000.0
2008-01-01,2712049000.0
2009-01-01,
2010-01-01,583955860.0
2011-01-01,1148073304.0
2012-01-01,
2013-01-01,6426169395.0
2014-01-01,11003724610.0
2015-01-01,4628018450.0
2016-01-01,3102225000.0
2017-01-01,1482940000.0
2018-01-01,5222420000.0
2019-01-01,186001002.0
2020-01-01,
2021-01-01,1896510000.0
2022-01-01,828870000.0
