Tarih,TP_GSYIH25_HY_CF
2000-01-01,8078508.01143302
2000-04-01,9640011.82166359
2000-07-01,9828128.8330451
2000-10-01,11002487.1822714
2001-01-01,10054289.93362689
2001-04-01,13065265.8468763
2001-07-01,15896505.86909279
2001-10-01,17106776.6315572
2002-01-01,16203895.287
2002-04-01,18636714.45539589
2002-07-01,22820694.3151386
2002-10-01,25217495.3111497
2003-01-01,26713781.12878929
2003-04-01,25890246.8205153
2003-07-01,26278051.86171619
2003-10-01,30813937.67183829
2004-01-01,31297328.960799
2004-04-01,36520610.80082389
2004-07-01,37628531.9797231
2004-10-01,41539780.7479156
2005-01-01,37926870.972615
2005-04-01,41200064.7267479
2005-07-01,41002483.05651269
2005-10-01,45079392.1709948
2006-01-01,44023499.40918239
2006-04-01,55038539.7030898
2006-07-01,55067437.69720309
2006-10-01,55888491.4778269
2007-01-01,55441756.729056
2007-04-01,57876023.59348069
2007-07-01,57016319.89183609
2007-10-01,60365821.61771389
2008-01-01,65284835.9046398
2008-04-01,73627235.7222537
2008-07-01,69607885.5755097
2008-10-01,62353643.86806049
2009-01-01,51814356.31157919
2009-04-01,56834470.14184439
2009-07-01,62005344.6382576
2009-10-01,65303976.37479259
2010-01-01,62118825.60546249
2010-04-01,73941807.9465848
2010-07-01,76510365.56129348
2010-10-01,85597039.52545328
2011-01-01,93075394.1080452
2011-04-01,105267128.4663709
2011-07-01,113507913.928356
2011-10-01,114624618.9409829
2012-01-01,105875445.641992
2012-04-01,117074273.2680819
2012-07-01,113840751.125403
2012-10-01,114178407.6394989
2013-01-01,115104967.744411
2013-04-01,132848405.6557859
2013-07-01,134177429.5723779
2013-10-01,142940313.25033
2014-01-01,141661065.786931
2014-04-01,145638208.307684
2014-07-01,144087804.1844829
2014-10-01,156167410.7691729
2015-01-01,140752676.9360629
2015-04-01,160199208.683261
2015-07-01,157942161.8736439
2015-10-01,167147748.4509629
2016-01-01,152815782.9806219
2016-04-01,168475628.0337159
2016-07-01,153404418.285237
2016-10-01,189060045.1157779
2017-01-01,204238819.037054
2017-04-01,225268902.0529229
2017-07-01,233595460.899437
2017-10-01,269628413.5555949
2018-01-01,258074624.5320219
2018-04-01,296207086.6528369
2018-07-01,323716255.8200579
2018-10-01,305713485.6998019
2019-01-01,292679843.4480969
2019-04-01,328123649.1426609
2019-07-01,322315815.3400459
2019-10-01,357623951.530116
2020-01-01,361187523.164824
2020-04-01,309345536.3830819
2020-07-01,431043513.032341
2020-10-01,525767056.805356
2021-01-01,466280097.5619329
2021-04-01,568898164.2693568
2021-07-01,607445107.486685
2021-10-01,926145838.248658
2022-01-01,1261708123.0724
2022-04-01,1504068964.538589
2022-07-01,1783319337.29678
2022-10-01,1850531310.912839
2023-01-01,1918945036.916539
2023-04-01,1936883649.514839
2023-07-01,2598194597.701159
2023-10-01,2694661731.62509
2024-01-01,2766450093.82832
2024-04-01,2900028285.359059
2024-07-01,2996425772.71215
2024-10-01,3389282787.96049
2025-01-01,3423546565.45698
2025-04-01,3904240597.699269
