Tarih,TP_GSYIH22_HY_CF
2000-01-01,6915369.61395027
2000-04-01,9817988.69857182
2000-07-01,10014280.731797
2000-10-01,11577784.09216449
2001-01-01,8919214.35655463
2001-04-01,10935854.65920279
2001-07-01,11852159.2942823
2001-10-01,13087868.06487409
2002-01-01,12434309.8839253
2002-04-01,17026061.49469169
2002-07-01,18853282.48336359
2002-10-01,23076083.1139958
2003-01-01,18206381.5909486
2003-04-01,23542204.4121668
2003-07-01,25463454.9515555
2003-10-01,31932259.21249739
2004-01-01,29573740.0620017
2004-04-01,39117634.49537629
2004-07-01,38508718.49641239
2004-10-01,42725425.5101388
2005-01-01,37105215.13440159
2005-04-01,46810236.7160516
2005-07-01,46816547.0893867
2005-10-01,52828020.6787341
2006-01-01,44781014.994437
2006-04-01,58855145.12476229
2006-07-01,61314460.0675531
2006-10-01,67232713.2771603
2007-01-01,53133487.9299369
2007-04-01,63681707.93130929
2007-07-01,65262797.5033463
2007-10-01,72409449.09885938
2008-01-01,61950050.81326139
2008-04-01,74383873.165585
2008-07-01,67799659.4143722
2008-10-01,71435251.9291878
2009-01-01,47306981.17429929
2009-04-01,61384380.15518339
2009-07-01,58013560.7539258
2009-10-01,66020862.8446938
2010-01-01,53672516.538386
2010-04-01,70953887.2114302
2010-07-01,78147347.5992306
2010-10-01,89806788.7337018
2011-01-01,74871488.8202185
2011-04-01,101390046.7526379
2011-07-01,104397381.9840009
2011-10-01,115097641.9654469
2012-01-01,88320330.6458698
2012-04-01,109946059.5621449
2012-07-01,112970058.3180119
2012-10-01,124429475.517102
2013-01-01,106796293.4743559
2013-04-01,131896418.803277
2013-07-01,140127737.6874189
2013-10-01,148636250.7029109
2014-01-01,134291279.293244
2014-04-01,145816920.4369139
2014-07-01,153210049.3072319
2014-10-01,166504877.9436819
2015-01-01,144634641.130528
2015-04-01,178017539.2162109
2015-07-01,180727535.5011329
2015-10-01,203118462.109445
2016-01-01,168940784.2480849
2016-04-01,195844724.7027989
2016-07-01,195027571.416137
2016-10-01,230322318.3220289
2017-01-01,194882806.387986
2017-04-01,235196112.4422729
2017-07-01,251891900.887364
2017-10-01,271678189.4356999
2018-01-01,252869443.933182
2018-04-01,304673200.497923
2018-07-01,298781099.757273
2018-10-01,296864485.545174
2019-01-01,269974341.807586
2019-04-01,280509991.451972
2019-07-01,285663363.3879889
2019-10-01,328763768.371221
2020-01-01,285646641.2380319
2020-04-01,307952223.939328
2020-07-01,395555498.205513
2020-10-01,447984933.6459159
2021-01-01,402552150.2199429
2021-04-01,490967601.929825
2021-07-01,533203311.6565009
2021-10-01,683888566.963705
2022-01-01,810292947.478214
2022-04-01,1126663892.30004
2022-07-01,1271578821.14122
2022-10-01,1472745778.730979
2023-01-01,1566656999.498929
2023-04-01,1883884541.21612
2023-07-01,2650370824.77108
2023-10-01,2805145913.193049
2024-01-01,2943835907.67243
2024-04-01,3237101638.483069
2024-07-01,3741835785.735579
2024-10-01,4040040580.99418
2025-01-01,3822403340.781189
2025-04-01,4554248865.36303
