Tarih,TP_GSYIH20_HY_CF
2000-01-01,24280260.25799769
2000-04-01,27374805.60745489
2000-07-01,30653595.47924309
2000-10-01,31362541.30891039
2001-01-01,30077421.28204549
2001-04-01,36832107.82530029
2001-07-01,41962918.64004489
2001-10-01,46444498.08530859
2002-01-01,46982438.570665
2002-04-01,54070680.2291221
2002-07-01,61308189.5259514
2002-10-01,65246664.6225609
2003-01-01,64974643.84098999
2003-04-01,72930083.7708934
2003-07-01,80531471.96723878
2003-10-01,84337636.1379304
2004-01-01,80537778.5908364
2004-04-01,91316191.6226383
2004-07-01,98715184.5067456
2004-10-01,99333981.9484446
2005-01-01,92948022.38451388
2005-04-01,102534932.809835
2005-07-01,111677317.403059
2005-10-01,114780912.2453929
2006-01-01,106329697.453317
2006-04-01,119094099.9503089
2006-07-01,125701648.120643
2006-10-01,128101502.4488829
2007-01-01,118066310.0062939
2007-04-01,130307017.6963309
2007-07-01,142596846.341329
2007-10-01,145480157.9838829
2008-01-01,135360133.517654
2008-04-01,149074963.204169
2008-07-01,156434983.6091049
2008-10-01,153897161.305225
2009-01-01,132839310.3894509
2009-04-01,147287337.9509829
2009-07-01,158748772.324627
2009-10-01,162403266.3120079
2010-01-01,153093174.4172779
2010-04-01,170895509.190277
2010-07-01,192780452.937007
2010-10-01,193246594.8549039
2011-01-01,187962689.0427939
2011-04-01,209440606.3756749
2011-07-01,225594302.9404009
2011-10-01,231117867.552552
2012-01-01,211683914.424098
2012-04-01,230981852.6769349
2012-07-01,249633738.5862889
2012-10-01,250560721.5401549
2013-01-01,236367643.791467
2013-04-01,259918079.246506
2013-07-01,285675811.200712
2013-10-01,288320019.8219349
2014-01-01,260809970.9956429
2014-04-01,287886409.869184
2014-07-01,315697015.114479
2014-10-01,324550226.351508
2015-01-01,301379215.4829869
2015-04-01,329810921.7943879
2015-07-01,348517455.540578
2015-10-01,372737901.322265
2016-01-01,331585901.1494389
2016-04-01,365066131.7008259
2016-07-01,373271704.596866
2016-10-01,425395504.8824279
2017-01-01,378523052.5045049
2017-04-01,424439172.306841
2017-07-01,455914326.330564
2017-10-01,501555662.672778
2018-01-01,445813321.7294629
2018-04-01,491014373.6059439
2018-07-01,532209180.1389399
2018-10-01,555122823.7812738
2019-01-01,501661274.651731
2019-04-01,571813245.424708
2019-07-01,617134151.545775
2019-10-01,662003084.977671
2020-01-01,585132572.1884059
2020-04-01,572016199.362655
2020-07-01,777386490.5904459
2020-10-01,809077044.62187
2021-01-01,754751425.806957
2021-04-01,842879760.258161
2021-07-01,998660670.3551399
2021-10-01,1250813848.303839
2022-01-01,1423306376.361079
2022-04-01,1818998719.76581
2022-07-01,2257556058.23923
2022-10-01,2613966843.84699
2023-01-01,2659624690.126639
2023-04-01,3109501834.6851
2023-07-01,4082657574.92497
2023-10-01,4708926724.15139
2024-01-01,4846768324.16335
2024-04-01,5447769682.24792
2024-07-01,6511646433.815349
2024-10-01,7250250571.339889
2025-01-01,7052475107.666609
2025-04-01,7909897355.60379
