Tarih,TP_GSYIH27_HY_CF
2000-01-01,123087.228562815
2000-04-01,143306.613570691
2000-07-01,139062.999279912
2000-10-01,164310.282240639
2001-01-01,167936.456114856
2001-04-01,185461.619833456
2001-07-01,184141.993027633
2001-10-01,231249.885409967
2002-01-01,259955.584279361
2002-04-01,318645.230429534
2002-07-01,305112.679474944
2002-10-01,360037.870730671
2003-01-01,433875.37146424
2003-04-01,478206.923713224
2003-07-01,425587.124822322
2003-10-01,476020.387711034
2004-01-01,470163.206324616
2004-04-01,481011.496332589
2004-07-01,430370.239773519
2004-10-01,482954.647302557
2005-01-01,477373.080166193
2005-04-01,498690.979883588
2005-07-01,458143.498138034
2005-10-01,530336.969298095
2006-01-01,543181.424680551
2006-04-01,579909.311496457
2006-07-01,536958.097519233
2006-10-01,618687.216228153
2007-01-01,622019.320138999
2007-04-01,652220.529389671
2007-07-01,593498.269363918
2007-10-01,662177.481765632
2008-01-01,699909.51692058
2008-04-01,731726.338269892
2008-07-01,639534.94156409
2008-10-01,704607.867029511
2009-01-01,700216.539045923
2009-04-01,764474.515455727
2009-07-01,689072.919068398
2009-10-01,807888.51837041
2010-01-01,729816.235712916
2010-04-01,764056.148993042
2010-07-01,667956.189864032
2010-10-01,776540.282762976
2011-01-01,913301.226282194
2011-04-01,965135.317362178
2011-07-01,901176.894879141
2011-10-01,1008237.44511601
2012-01-01,902150.940279897
2012-04-01,947206.782131762
2012-07-01,876805.366082987
2012-10-01,993191.072252517
2013-01-01,906584.158434818
2013-04-01,941356.18054496
2013-07-01,870874.499728417
2013-10-01,961835.062510829
2014-01-01,1176331.85991316
2014-04-01,1206317.48472316
2014-07-01,1189104.59525841
2014-10-01,1308021.48340277
2015-01-01,1712988.80925737
2015-04-01,1785294.428866569
2015-07-01,1754960.61437378
2015-10-01,1748191.22839635
2016-01-01,1976132.45000641
2016-04-01,2206732.5214632
2016-07-01,2028972.208588379
2016-10-01,2154255.73395011
2017-01-01,2201023.62079817
2017-04-01,2435926.783394219
2017-07-01,2239164.66987405
2017-10-01,2360235.14598257
2018-01-01,3074966.434493009
2018-04-01,3412985.68895932
2018-07-01,3158861.14680991
2018-10-01,3284790.490752609
2019-01-01,3626884.702497459
2019-04-01,3746118.89850737
2019-07-01,3462469.19583316
2019-10-01,3536063.73130522
2020-01-01,4929736.7080947
2020-04-01,4283392.481137299
2020-07-01,4749367.51885897
2020-10-01,4747186.518535769
2021-01-01,6368441.302335149
2021-04-01,5630641.812293269
2021-07-01,6201653.78169532
2021-10-01,6207694.732447589
2022-01-01,9384245.13798556
2022-04-01,8752681.24870833
2022-07-01,10769880.541695
2022-10-01,10069348.3155854
2023-01-01,20548353.8557454
2023-04-01,17171881.44719929
2023-07-01,20731611.14288619
2023-10-01,18814966.3416832
2024-01-01,39136826.10202389
2024-04-01,34812731.8048316
2024-07-01,35620579.26483629
2024-10-01,33730926.63594239
2025-01-01,50970149.1588419
2025-04-01,44215293.81298869
