Tarih,TP_GSYIH21_HY_CF
2000-01-01,4115423.61516785
2000-04-01,4910183.529971309
2000-07-01,5215065.600882059
2000-10-01,6358084.54418179
2001-01-01,5338888.71621837
2001-04-01,7460909.81459372
2001-07-01,7932229.548442659
2001-10-01,10862744.74363289
2002-01-01,9216512.88924767
2002-04-01,11094940.1040754
2002-07-01,11675518.99639849
2002-10-01,15138802.8274034
2003-01-01,12668677.382632
2003-04-01,14429104.5621173
2003-07-01,15717491.16097139
2003-10-01,17668684.62576229
2004-01-01,15835071.5116083
2004-04-01,16422669.0072227
2004-07-01,17511872.7060084
2004-10-01,23512903.1931454
2005-01-01,18388852.4961882
2005-04-01,19042321.49171689
2005-07-01,21387696.08454389
2005-10-01,26108040.9859617
2006-01-01,22743222.15995439
2006-04-01,25853569.1093776
2006-07-01,26548704.38784199
2006-10-01,30444699.54906859
2007-01-01,27870238.86022949
2007-04-01,31624601.91979999
2007-07-01,29864321.59752999
2007-10-01,33255895.9709565
2008-01-01,32163224.47434119
2008-04-01,34173174.329139
2008-07-01,35815270.06515959
2008-10-01,38977240.28162869
2009-01-01,36248141.82226049
2009-04-01,39307403.79437729
2009-07-01,39879047.04270509
2009-10-01,48855125.7492351
2010-01-01,37667014.3519345
2010-04-01,41776081.8989021
2010-07-01,42865420.5492063
2010-10-01,50435188.78048729
2011-01-01,43746305.45128829
2011-04-01,48524557.3683155
2011-07-01,47233615.13399869
2011-10-01,59016516.37548449
2012-01-01,49231183.5569111
2012-04-01,57478637.1628872
2012-07-01,57318420.3353058
2012-10-01,65624574.52902819
2013-01-01,60362757.0165729
2013-04-01,63161856.2507695
2013-07-01,64657511.60173159
2013-10-01,73140061.8468777
2014-01-01,73117551.4164106
2014-04-01,70632138.2195388
2014-07-01,72827498.4056804
2014-10-01,83996228.1690547
2015-01-01,67874671.3813178
2015-04-01,75868224.3937668
2015-07-01,77248197.833856
2015-10-01,96839861.9881117
2016-01-01,85916380.7245866
2016-04-01,96485093.38965508
2016-07-01,86885754.9031464
2016-10-01,114752558.8007979
2017-01-01,97277589.1819763
2017-04-01,105141559.272835
2017-07-01,105287350.0604059
2017-10-01,136951352.9144819
2018-01-01,115956557.1329839
2018-04-01,129676949.391911
2018-07-01,133247775.896033
2018-10-01,173522856.732562
2019-01-01,152610210.4491899
2019-04-01,159568054.073345
2019-07-01,161715397.506424
2019-10-01,197104136.7912079
2020-01-01,172634623.4000389
2020-04-01,180647377.591603
2020-07-01,185248148.0824359
2020-10-01,234371518.873641
2021-01-01,196843480.692445
2021-04-01,218723202.685927
2021-07-01,248234327.449786
2021-10-01,305983213.691106
2022-01-01,322449772.637196
2022-04-01,381876191.902624
2022-07-01,475004633.1739699
2022-10-01,631773949.868012
2023-01-01,659163916.7484689
2023-04-01,770528277.5358748
2023-07-01,976031109.610002
2023-10-01,1180119820.232219
2024-01-01,1405545944.8401
2024-04-01,1484090928.78113
2024-07-01,1642607072.60437
2024-10-01,1913356740.21719
2025-01-01,1955813934.777659
2025-04-01,1865395532.0882
