Tarih,TP_TG2_Y19
2024-09-01,10.5224569922
2024-10-01,12.1633907884
2024-11-01,10.7754148621
2024-12-01,12.0679587818
2025-01-01,13.3650795598
2025-02-01,12.8112446827
2025-03-01,13.634811448
2025-04-01,14.0328913153
2025-05-01,15.1309699048
2025-06-01,14.6421025522
2025-07-01,14.5181515057
2025-08-01,13.429181919
2025-09-01,14.3573210241
