Tarih,TP_TG2_Y12
2024-09-01,37.4592853002
2024-10-01,42.8627687573
2024-11-01,40.5253923289
2024-12-01,41.035959441
2025-01-01,39.4957326752
2025-02-01,40.0565038636
2025-03-01,43.5495662873
2025-04-01,42.3136054529
2025-05-01,43.5246015858
2025-06-01,42.3507900377
2025-07-01,41.4498222721
2025-08-01,40.9092238189
2025-09-01,39.8477643454
