Tarih,TP_TG2_Y10
2024-09-01,74.8070031414
2024-10-01,75.0130430008
2024-11-01,75.840940617
2024-12-01,76.3902891097
2025-01-01,64.7969493741
2025-02-01,62.2758610296
2025-03-01,63.0403512564
2025-04-01,67.7194464596
2025-05-01,66.7346387126
2025-06-01,64.6278357196
2025-07-01,62.528481286
2025-08-01,62.3405047868
2025-09-01,63.5499065713
