Tarih,TP_TG2_Y11
2024-09-01,77.8915333031
2024-10-01,79.3939568261
2024-11-01,77.1652107013
2024-12-01,79.3246565489
2025-01-01,74.5893499824
2025-02-01,76.2226277304
2025-03-01,80.245622978
2025-04-01,79.7690467053
2025-05-01,78.7843058202
2025-06-01,78.8812525371
2025-07-01,77.9505102402
2025-08-01,78.6564978944
2025-09-01,76.5700726995
