Tarih,TP_BEK_S06_A_A
2016-06-01,-33018.75
2016-07-01,-33008.43
2016-08-01,-33413.56
2016-09-01,-33263.06
2016-10-01,-33870.29
2016-11-01,-34018.18
2016-12-01,-34016.82
2017-01-01,-35970.0
2017-02-01,-35293.65
2017-03-01,-35578.26
2017-04-01,-35632.31
2017-05-01,-35475.81
2017-06-01,-35705.41
2017-07-01,-36413.85
2017-08-01,-36764.41
2017-09-01,-37153.85
2017-10-01,-38338.98
2017-11-01,-39081.69
2017-12-01,-40518.64
2018-01-01,-43937.5
2018-02-01,-45454.79
2018-03-01,-48163.24
2018-04-01,-50568.12
2018-05-01,-53465.57
2018-06-01,-53180.0
2018-07-01,-54059.02
2018-08-01,-51407.27
2018-09-01,-48331.15
2018-10-01,-40354.37
2018-11-01,-36588.89
2018-12-01,-33345.31
2019-01-01,-23693.29
2019-02-01,-22871.21
2019-03-01,-20341.62
2019-04-01,-17624.19
2019-05-01,-14668.64
2019-06-01,-10590.97
2019-07-01,-7649.82
2019-08-01,-6719.83
2019-09-01,-5892.31
2019-10-01,-852.2
2019-11-01,585.75
2019-12-01,838.67
2020-01-01,-12872.73
2020-02-01,-13783.88
2020-03-01,-12005.09
2020-04-01,-6050.0
2020-05-01,-7225.45
2020-06-01,-11585.96
2020-07-01,-14639.96
2020-08-01,-17319.64
2020-09-01,-22751.85
2020-10-01,-27698.25
2020-11-01,-29805.66
2020-12-01,-33372.72
2021-01-01,-24006.9
2021-02-01,-24066.04
2021-03-01,-25060.34
2021-04-01,-23940.57
2021-05-01,-25448.72
2021-06-01,-25114.71
2021-07-01,-24352.94
2021-08-01,-23800.0
2021-09-01,-22722.0
2021-10-01,-21512.77
2021-11-01,-19222.09
2021-12-01,-15764.44
2022-01-01,-7941.86
2022-02-01,-9406.67
2022-03-01,-21154.55
2022-04-01,-27224.44
2022-05-01,-32682.14
2022-06-01,-35391.28
2022-07-01,-37540.48
2022-08-01,-39306.76
2022-09-01,-45890.28
2022-10-01,-49211.13
2022-11-01,-48352.03
2022-12-01,-46662.05
2023-01-01,-30652.89
2023-02-01,-30585.21
2023-03-01,-35982.05
2023-04-01,-37750.0
2023-05-01,-38409.72
2023-06-01,-40319.12
2023-07-01,-42427.63
2023-08-01,-43556.76
2023-09-01,-44265.79
2023-10-01,-45936.07
2023-11-01,-45939.34
2023-12-01,-45701.59
2024-01-01,-33958.33
2024-02-01,-33962.79
2024-03-01,-32847.26
2024-04-01,-32010.98
2024-05-01,-30232.88
2024-06-01,-28992.79
2024-07-01,-27593.79
2024-08-01,-25482.9
2024-09-01,-22165.89
2024-10-01,-20176.35
2024-11-01,-14142.37
2024-12-01,-10080.33
2025-01-01,-17617.97
2025-02-01,-18775.5
2025-03-01,-19688.97
2025-04-01,-19375.41
2025-05-01,-19056.36
2025-06-01,-18840.0
2025-07-01,-19677.09
2025-08-01,-20091.53
2025-09-01,-20755.0
2025-10-01,-20581.55
