Tarih,TP_SEKBIL3111_Q
2000-01-01,
2001-01-01,
2002-01-01,
2003-01-01,
2004-01-01,
2005-01-01,
2006-01-01,
2007-01-01,
2008-01-01,
2009-01-01,14290958.3
2010-01-01,16407107.9
2011-01-01,19091787.9
2012-01-01,21922168.3
2013-01-01,26009052.9
2014-01-01,30044245.0
2015-01-01,34897753.9
2016-01-01,39944773.4
2017-01-01,46864933.4
2018-01-01,54662973.5
2019-01-01,59764249.8
2020-01-01,72832635.0
2021-01-01,99852705.1
2022-01-01,179094686.7
2023-01-01,264462827.9
