Tarih,TP_RKDRK01
2015-05-01,1037.18204
2015-06-01,853.69774
2015-07-01,878.81514
2015-08-01,936.04889
2015-09-01,1539.06356
2015-10-01,1436.37014
2015-11-01,1389.45945
2015-12-01,1057.23939
2016-01-01,1084.21126
2016-02-01,1106.11414
2016-03-01,1139.37821
2016-04-01,1032.5903
2016-05-01,1371.8274
2016-06-01,1402.06799
2016-07-01,1349.49808
2016-08-01,1026.42137
2016-09-01,1439.65048
2016-10-01,1245.92771
2016-11-01,1543.22286
2016-12-01,1281.34841
2017-01-01,1890.44777
2017-02-01,932.38933
2017-03-01,31.3424
2017-04-01,77.43818
2017-05-01,917.13355
2017-06-01,1192.4412
2017-07-01,1292.18349
2017-08-01,2030.19624
2017-09-01,1703.25246
2017-10-01,1792.67584
2017-11-01,348.17653
2017-12-01,282.2968
2018-01-01,324.52245
2018-02-01,1361.82294
2018-03-01,1633.92395
2018-04-01,1303.87418
2018-05-01,1535.05204
2018-06-01,248.7771
2018-07-01,115.44358
2018-08-01,1406.60987
2018-09-01,1325.1396
2018-10-01,1912.073
2018-11-01,2034.65608
2018-12-01,1699.65327
2019-01-01,1761.51809
2019-02-01,1443.54097
2019-03-01,1837.6432
2019-04-01,1654.36889
2019-05-01,2219.57896
2019-06-01,1814.26711
2019-07-01,2213.57476
2019-08-01,2048.07224
2019-09-01,1555.09789
2019-10-01,2181.27291
2019-11-01,1812.90888
2019-12-01,2150.41988
2020-01-01,1828.3083
2020-02-01,2314.35778
2020-03-01,2288.94157
2020-04-01,1040.09723
2020-05-01,910.75948
2020-06-01,1386.10781
2020-07-01,3143.10248
2020-08-01,2354.89318
2020-09-01,2667.05986
2020-10-01,1744.00051
2020-11-01,2283.57123
2020-12-01,1106.21687
2021-01-01,999.51303
2021-02-01,895.42639
2021-03-01,1140.46001
2021-04-01,1185.57018
2021-05-01,1332.15194
2021-06-01,1874.75458
2021-07-01,1677.71511
2021-08-01,2139.6761
2021-09-01,2637.82085
2021-10-01,2311.33418
2021-11-01,2802.68617
2021-12-01,2080.58554
2022-01-01,1549.45514
2022-02-01,1309.50135
2022-03-01,2024.62407
2022-04-01,3160.33618
2022-05-01,2378.63295
2022-06-01,1163.35017
2022-07-01,1097.27025
2022-08-01,1333.57138
2022-09-01,1301.10334
2022-10-01,653.31246
2022-11-01,1239.97103
2022-12-01,411.91197
2023-01-01,123.72241
2023-02-01,551.46566
2023-03-01,628.51411
2023-04-01,543.79619
2023-05-01,452.58929
2023-06-01,113.07824
2023-07-01,160.9675
2023-08-01,209.52154
2023-09-01,211.78092
2023-10-01,227.08218
2023-11-01,321.9325
2023-12-01,287.6435
2024-01-01,472.872
2024-02-01,416.61296
2024-03-01,110.75165
2024-04-01,98.232
2024-05-01,119.703
2024-06-01,102.6455
2024-07-01,
2024-08-01,4.2
2024-09-01,
2024-10-01,109.89
2024-11-01,468.519
2024-12-01,233.313
2025-01-01,354.121
2025-02-01,298.963
2025-03-01,353.54524
2025-04-01,114.97346
2025-05-01,32.89754
2025-06-01,175.5254
2025-07-01,258.82214
2025-08-01,178.91482
