Tarih,TP_KALVADBG_K15
2016-04-01,80776.0
2016-05-01,80326.0
2016-06-01,80614.0
2016-07-01,78783.0
2016-08-01,77876.0
2016-09-01,76420.0
2016-10-01,75393.0
2016-11-01,75404.0
2016-12-01,72564.0
2017-01-01,74109.0
2017-02-01,74008.0
2017-03-01,76042.0
2017-04-01,74351.0
2017-05-01,72438.0
2017-06-01,76625.0
2017-07-01,75882.0
2017-08-01,77161.0
2017-09-01,76738.0
2017-10-01,77865.0
2017-11-01,74719.0
2017-12-01,77012.0
2018-01-01,79545.0
2018-02-01,77752.0
2018-03-01,75803.0
2018-04-01,78346.0
2018-05-01,75961.0
2018-06-01,74152.0
2018-07-01,74137.0
2018-08-01,71496.0
2018-09-01,68539.0
2018-10-01,65520.0
2018-11-01,64397.0
2018-12-01,63069.0
2019-01-01,62752.0
2019-02-01,61278.0
2019-03-01,60992.0
2019-04-01,60398.0
2019-05-01,57723.0
2019-06-01,59172.0
2019-07-01,58892.0
2019-08-01,56843.0
2019-09-01,56606.0
2019-10-01,54539.0
2019-11-01,54976.0
2019-12-01,55493.0
2020-01-01,53170.0
2020-02-01,47745.0
2020-03-01,45368.0
2020-04-01,45376.0
2020-05-01,44636.0
2020-06-01,46206.0
2020-07-01,47184.0
2020-08-01,49349.0
2020-09-01,49509.0
2020-10-01,48874.0
2020-11-01,49608.0
2020-12-01,51782.0
2021-01-01,51830.0
2021-02-01,53673.0
2021-03-01,50216.0
2021-04-01,51876.0
2021-05-01,52709.0
2021-06-01,51036.0
2021-07-01,53152.0
2021-08-01,52963.0
2021-09-01,52073.0
2021-10-01,53670.0
2021-11-01,51667.0
2021-12-01,51952.0
2022-01-01,53722.0
2022-02-01,52032.0
2022-03-01,53645.0
2022-04-01,54083.0
2022-05-01,54239.0
2022-06-01,53120.0
2022-07-01,52855.0
2022-08-01,52057.0
2022-09-01,51107.0
2022-10-01,50347.0
2022-11-01,51518.0
2022-12-01,49087.0
2023-01-01,48634.0
2023-02-01,49024.0
2023-03-01,50571.0
2023-04-01,50584.0
2023-05-01,49142.0
2023-06-01,52431.0
2023-07-01,52693.0
2023-08-01,53015.0
2023-09-01,53863.0
2023-10-01,55648.0
2023-11-01,58457.0
2023-12-01,58513.0
2024-01-01,58135.0
2024-02-01,58116.0
2024-03-01,58521.0
2024-04-01,58452.0
2024-05-01,61481.0
2024-06-01,62232.0
2024-07-01,63395.0
2024-08-01,62430.0
2024-09-01,64188.0
2024-10-01,66808.0
2024-11-01,65333.0
2024-12-01,64759.0
2025-01-01,65331.0
2025-02-01,61919.0
2025-03-01,63664.0
2025-04-01,61740.0
2025-05-01,62921.0
2025-06-01,60171.0
2025-07-01,63041.0
2025-08-01,63539.0
