Tarih,TP_IYABGS3S_S05_C
2024-06-01,9.7355
2024-07-01,9.31444
2024-08-01,14.13073
2024-09-01,13.51317
2024-10-01,14.21415
2024-11-01,17.57727
2024-12-01,17.17493
2025-01-01,14.99156
2025-02-01,11.69329
2025-03-01,13.52914
2025-04-01,12.55044
2025-05-01,13.52816
2025-06-01,15.66348
2025-07-01,11.81486
2025-08-01,13.65325
2025-09-01,13.53274
