Tarih,TP_IYABGS3S_S11_C
2024-06-01,23.74265
2024-07-01,27.31533
2024-08-01,26.59735
2024-09-01,26.19291
2024-10-01,23.89199
2024-11-01,27.67185
2024-12-01,25.81563
2025-01-01,26.01219
2025-02-01,20.24942
2025-03-01,20.04247
2025-04-01,21.4655
2025-05-01,19.40533
2025-06-01,24.08406
2025-07-01,27.00597
2025-08-01,23.46049
2025-09-01,25.0057
