Tarih,TP_IYABGS3S_S04_C
2024-06-01,8.3305
2024-07-01,8.69005
2024-08-01,13.58885
2024-09-01,9.34976
2024-10-01,7.61797
2024-11-01,9.57809
2024-12-01,11.12781
2025-01-01,12.12786
2025-02-01,9.50077
2025-03-01,13.2078
2025-04-01,11.01399
2025-05-01,11.64567
2025-06-01,14.68564
2025-07-01,12.47508
2025-08-01,12.41146
2025-09-01,13.18714
