Tarih,TP_IYABGS3S_S07_C
2024-06-01,8.76791
2024-07-01,10.25656
2024-08-01,12.1933
2024-09-01,12.77673
2024-10-01,9.87668
2024-11-01,12.72664
2024-12-01,14.0212
2025-01-01,11.15081
2025-02-01,7.80623
2025-03-01,9.63105
2025-04-01,8.71977
2025-05-01,9.57453
2025-06-01,11.73094
2025-07-01,9.91006
2025-08-01,9.55661
2025-09-01,11.51065
