Tarih,TP_IYABGS3S_S07_A
2024-06-01,15.45529
2024-07-01,13.5034
2024-08-01,10.94434
2024-09-01,13.53686
2024-10-01,13.15974
2024-11-01,11.672
2024-12-01,12.15631
2025-01-01,11.36726
2025-02-01,10.99814
2025-03-01,11.5573
2025-04-01,10.08516
2025-05-01,12.59875
2025-06-01,12.54245
2025-07-01,13.31751
2025-08-01,14.26152
2025-09-01,11.63485
