Tarih,TP_IYABGS3S_S06_B
2024-06-01,53.30667
2024-07-01,49.35106
2024-08-01,55.80857
2024-09-01,53.09528
2024-10-01,53.71639
2024-11-01,54.2066
2024-12-01,45.22391
2025-01-01,45.53938
2025-02-01,53.45396
2025-03-01,56.52819
2025-04-01,50.74099
2025-05-01,55.25379
2025-06-01,55.99569
2025-07-01,52.20805
2025-08-01,56.78014
2025-09-01,58.80164
