Tarih,TP_YD03
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,166.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,447.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,343.0
2005-01-01,71.0
2005-02-01,17.0
2005-03-01,75.0
2005-04-01,92.0
2005-05-01,83.0
2005-06-01,40.0
2005-07-01,19.0
2005-08-01,166.0
2005-09-01,71.0
2005-10-01,19.0
2005-11-01,142.0
2005-12-01,113.0
2006-01-01,91.0
2006-02-01,86.0
2006-03-01,60.0
2006-04-01,122.0
2006-05-01,1147.0
2006-06-01,299.0
2006-07-01,42.0
2006-08-01,201.0
2006-09-01,167.0
2006-10-01,111.0
2006-11-01,303.0
2006-12-01,359.0
2007-01-01,145.0
2007-02-01,1176.0
2007-03-01,182.0
2007-04-01,154.0
2007-05-01,506.0
2007-06-01,257.0
2007-07-01,1072.0
2007-08-01,496.0
2007-09-01,314.0
2007-10-01,441.0
2007-11-01,114.0
2007-12-01,180.0
2008-01-01,307.0
2008-02-01,177.0
2008-03-01,260.0
2008-04-01,457.0
2008-05-01,218.0
2008-06-01,1680.0
2008-07-01,287.0
2008-08-01,317.0
2008-09-01,100.0
2008-10-01,617.0
2008-11-01,185.0
2008-12-01,582.0
2009-01-01,1126.0
2009-02-01,104.0
2009-03-01,199.0
2009-04-01,403.0
2009-05-01,341.0
2009-06-01,224.0
2009-07-01,447.0
2009-08-01,326.0
2009-09-01,127.0
2009-10-01,124.0
2009-11-01,171.0
2009-12-01,295.0
2010-01-01,92.0
2010-02-01,214.0
2010-03-01,140.0
2010-04-01,95.0
2010-05-01,56.0
2010-06-01,89.0
2010-07-01,282.0
2010-08-01,112.0
2010-09-01,70.0
2010-10-01,85.0
2010-11-01,87.0
2010-12-01,1565.0
2011-01-01,213.0
2011-02-01,280.0
2011-03-01,240.0
2011-04-01,209.0
2011-05-01,140.0
2011-06-01,228.0
2011-07-01,2178.0
2011-08-01,585.0
2011-09-01,557.0
2011-10-01,121.0
2011-11-01,193.0
2011-12-01,3096.0
2012-01-01,172.0
2012-02-01,266.0
2012-03-01,2146.0
2012-04-01,160.0
2012-05-01,101.0
2012-06-01,977.0
2012-07-01,384.0
2012-08-01,229.0
2012-09-01,192.0
2012-10-01,217.0
2012-11-01,300.0
2012-12-01,336.0
2013-01-01,439.0
2013-02-01,201.0
2013-03-01,228.0
2013-04-01,214.0
2013-05-01,175.0
2013-06-01,633.0
2013-07-01,790.0
2013-08-01,141.0
2013-09-01,428.0
2013-10-01,140.0
2013-11-01,777.0
2013-12-01,1224.0
2014-01-01,298.0
2014-02-01,697.0
2014-03-01,936.0
2014-04-01,512.0
2014-05-01,101.0
2014-06-01,356.0
2014-07-01,436.0
2014-08-01,61.0
2014-09-01,189.0
2014-10-01,120.0
