Tarih,TP_YD22
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,405.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,249.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,843.0
2005-01-01,10.0
2005-02-01,261.0
2005-03-01,51.0
2005-04-01,202.0
2005-05-01,35.0
2005-06-01,166.0
2005-07-01,1017.0
2005-08-01,350.0
2005-09-01,656.0
2005-10-01,27.0
2005-11-01,2884.0
2005-12-01,1963.0
2006-01-01,19.0
2006-02-01,74.0
2006-03-01,34.0
2006-04-01,225.0
2006-05-01,5424.0
2006-06-01,63.0
2006-07-01,91.0
2006-08-01,2915.0
2006-09-01,284.0
2006-10-01,2575.0
2006-11-01,1766.0
2006-12-01,1175.0
2007-01-01,5936.0
2007-02-01,176.0
2007-03-01,662.0
2007-04-01,487.0
2007-05-01,182.0
2007-06-01,1008.0
2007-07-01,578.0
2007-08-01,248.0
2007-09-01,913.0
2007-10-01,217.0
2007-11-01,162.0
2007-12-01,3522.0
2008-01-01,518.0
2008-02-01,231.0
2008-03-01,2231.0
2008-04-01,280.0
2008-05-01,1634.0
2008-06-01,316.0
2008-07-01,912.0
2008-08-01,558.0
2008-09-01,977.0
2008-10-01,946.0
2008-11-01,508.0
2008-12-01,409.0
2009-01-01,211.0
2009-02-01,165.0
2009-03-01,290.0
2009-04-01,113.0
2009-05-01,128.0
2009-06-01,141.0
2009-07-01,179.0
2009-08-01,198.0
2009-09-01,172.0
2009-10-01,125.0
2009-11-01,171.0
2009-12-01,438.0
2010-01-01,177.0
2010-02-01,138.0
2010-03-01,197.0
2010-04-01,77.0
2010-05-01,82.0
2010-06-01,177.0
2010-07-01,791.0
2010-08-01,302.0
2010-09-01,256.0
2010-10-01,383.0
2010-11-01,510.0
2010-12-01,198.0
2011-01-01,243.0
2011-02-01,491.0
2011-03-01,4170.0
2011-04-01,463.0
2011-05-01,438.0
2011-06-01,363.0
2011-07-01,441.0
2011-08-01,187.0
2011-09-01,369.0
2011-10-01,283.0
2011-11-01,182.0
2011-12-01,434.0
2012-01-01,543.0
2012-02-01,378.0
2012-03-01,559.0
2012-04-01,312.0
2012-05-01,1271.0
2012-06-01,202.0
2012-07-01,141.0
2012-08-01,339.0
2012-09-01,198.0
2012-10-01,171.0
2012-11-01,345.0
2012-12-01,779.0
2013-01-01,174.0
2013-02-01,753.0
2013-03-01,299.0
2013-04-01,318.0
2013-05-01,622.0
2013-06-01,151.0
2013-07-01,1502.0
2013-08-01,182.0
2013-09-01,208.0
2013-10-01,258.0
2013-11-01,141.0
2013-12-01,478.0
2014-01-01,479.0
2014-02-01,445.0
2014-03-01,126.0
2014-04-01,341.0
2014-05-01,230.0
2014-06-01,553.0
2014-07-01,387.0
2014-08-01,85.0
2014-09-01,189.0
