Tarih,TP_AB_B4
2000-01-01,23869.7
2000-02-01,23918.2
2000-03-01,23936.9
2000-04-01,23347.6
2000-05-01,23960.8
2000-06-01,25557.5
2000-07-01,25487.0
2000-08-01,25490.0
2000-09-01,25185.0
2000-10-01,24581.0
2000-11-01,19937.0
2000-12-01,23369.0
2001-01-01,26131.0
2001-02-01,22560.0
2001-03-01,19607.0
2001-04-01,19464.0
2001-05-01,21056.0
2001-06-01,17643.0
2001-07-01,18239.0
2001-08-01,19803.0
2001-09-01,20312.0
2001-10-01,20034.0
2001-11-01,18535.0
2001-12-01,19961.0
2002-01-01,20170.0
2002-02-01,21640.0
2002-03-01,21608.0
2002-04-01,23641.0
2002-05-01,23206.0
2002-06-01,23446.0
2002-07-01,24378.0
2002-08-01,26247.0
2002-09-01,26264.0
2002-10-01,26811.0
2002-11-01,27198.0
2002-12-01,28094.0
2003-01-01,30551.0
2003-02-01,28943.2
2003-03-01,27791.0
2003-04-01,28187.0
2003-05-01,29936.3
2003-06-01,29955.5
2003-07-01,30465.0
2003-08-01,31142.2
2003-09-01,35349.9
2003-10-01,34380.8
2003-11-01,32796.7
2003-12-01,35169.1
2004-01-01,35212.6
2004-02-01,34785.7
2004-03-01,34428.3
2004-04-01,35167.3
2004-05-01,34677.0
2004-06-01,35398.8
2004-07-01,33795.0
2004-08-01,35172.3
2004-09-01,36217.4
2004-10-01,37537.1
2004-11-01,36934.0
2004-12-01,37611.9
2005-01-01,38687.3
2005-02-01,38269.9
2005-03-01,39640.6
2005-04-01,38948.8
2005-05-01,37366.3
2005-06-01,41605.8
2005-07-01,44494.8
2005-08-01,42800.5
2005-09-01,43529.0
2005-10-01,46574.0
2005-11-01,49723.3
2005-12-01,52378.4
2006-01-01,55033.3
2006-02-01,58606.2
2006-03-01,60448.1
2006-04-01,62153.7
2006-05-01,62056.5
2006-06-01,59017.7
2006-07-01,59401.1
2006-08-01,60260.2
2006-09-01,60793.0
2006-10-01,59747.6
2006-11-01,60631.3
2006-12-01,63185.5
2007-01-01,65446.9
2007-02-01,67207.9
2007-03-01,69935.6
2007-04-01,69844.8
2007-05-01,68748.1
2007-06-01,70656.7
2007-07-01,71732.7
2007-08-01,74396.0
2007-09-01,74464.8
2007-10-01,75219.9
2007-11-01,75360.7
2007-12-01,76415.0
2008-01-01,77798.1
2008-02-01,78541.1
2008-03-01,80031.3
2008-04-01,77919.9
2008-05-01,77383.6
2008-06-01,79422.7
2008-07-01,79320.0
2008-08-01,79046.0
2008-09-01,80861.8
2008-10-01,74731.3
2008-11-01,74233.4
2008-12-01,74253.9
2009-01-01,71400.6
2009-02-01,71083.5
2009-03-01,70587.6
2009-04-01,67637.6
2009-05-01,71043.7
2009-06-01,69382.8
2009-07-01,70479.2
2009-08-01,73931.5
2009-09-01,74647.2
2009-10-01,75448.3
2009-11-01,75905.5
2009-12-01,74828.9
2010-01-01,74844.6
2010-02-01,71859.0
2010-03-01,73608.8
2010-04-01,77418.9
2010-05-01,76822.6
2010-06-01,75661.4
2010-07-01,78590.7
2010-08-01,81216.9
2010-09-01,82524.8
2010-10-01,84011.5
2010-11-01,84269.3
2010-12-01,85967.9
2011-01-01,87845.6
2011-02-01,88340.3
2011-03-01,92142.5
2011-04-01,95946.5
2011-05-01,97597.7
2011-06-01,99379.3
2011-07-01,99105.5
2011-08-01,95712.4
2011-09-01,93612.1
2011-10-01,92420.0
2011-11-01,95049.2
2011-12-01,88340.2
2012-01-01,87591.6
2012-02-01,89684.4
2012-03-01,91342.0
2012-04-01,93037.3
2012-05-01,91071.5
2012-06-01,95499.9
2012-07-01,100112.6
2012-08-01,108712.2
2012-09-01,112085.6
2012-10-01,117208.3
2012-11-01,118361.5
2012-12-01,119167.5
2013-01-01,124209.7
2013-02-01,123226.9
2013-03-01,126695.1
2013-04-01,134001.3
2013-05-01,128861.7
2013-06-01,122617.5
2013-07-01,124187.1
2013-08-01,130676.1
2013-09-01,130761.7
2013-10-01,134185.3
2013-11-01,134576.7
2013-12-01,131034.7
2014-01-01,124270.6
2014-02-01,127690.6
2014-03-01,126051.2
2014-04-01,129732.2
2014-05-01,130591.0
2014-06-01,133534.1
2014-07-01,132666.5
2014-08-01,134087.7
2014-09-01,131840.1
2014-10-01,132297.2
2014-11-01,133452.0
2014-12-01,127308.0
2015-01-01,130543.4
2015-02-01,128353.6
2015-03-01,120742.4
2015-04-01,122851.0
2015-05-01,120662.6
2015-06-01,119608.0
2015-07-01,120653.5
2015-08-01,121245.5
2015-09-01,119682.0
2015-10-01,118559.0
2015-11-01,116548.0
2015-12-01,110533.0
2016-01-01,111357.0
2016-02-01,112769.0
2016-03-01,114590.0
2016-04-01,116032.0
2016-05-01,116113.2
2016-06-01,121799.5
2016-07-01,119673.4
2016-08-01,122958.0
2016-09-01,117844.0
2016-10-01,118387.0
2016-11-01,114346.2
2016-12-01,106111.3
2017-01-01,106452.0
2017-02-01,107577.5
2017-03-01,105697.0
2017-04-01,102711.0
2017-05-01,105447.0
2017-06-01,108705.0
2017-07-01,107647.6
2017-08-01,111999.4
2017-09-01,111940.0
