Tarih,TP_AB_B2
2000-01-01,22858.7
2000-02-01,22907.2
2000-03-01,22926.1
2000-04-01,22337.0
2000-05-01,22950.2
2000-06-01,24546.9
2000-07-01,24476.6
2000-08-01,24457.0
2000-09-01,24160.0
2000-10-01,23593.0
2000-11-01,18931.0
2000-12-01,22343.0
2001-01-01,25143.0
2001-02-01,21558.0
2001-03-01,18635.0
2001-04-01,18476.0
2001-05-01,20039.0
2001-06-01,16633.0
2001-07-01,17244.0
2001-08-01,18784.0
2001-09-01,19227.0
2001-10-01,18988.0
2001-11-01,17509.0
2001-12-01,18927.0
2002-01-01,19120.0
2002-02-01,20526.0
2002-03-01,20480.0
2002-04-01,22483.0
2002-05-01,21992.0
2002-06-01,22255.0
2002-07-01,23240.0
2002-08-01,25085.0
2002-09-01,25069.0
2002-10-01,25629.0
2002-11-01,26013.0
2002-12-01,26795.0
2003-01-01,29187.0
2003-02-01,27626.9
2003-03-01,26557.0
2003-04-01,26948.0
2003-05-01,28584.6
2003-06-01,28669.5
2003-07-01,29127.1
2003-08-01,29759.5
2003-09-01,33928.1
2003-10-01,32929.7
2003-11-01,31319.1
2003-12-01,33616.5
2004-01-01,33689.9
2004-02-01,33314.8
2004-03-01,32862.1
2004-04-01,33732.5
2004-05-01,33207.9
2004-06-01,33922.2
2004-07-01,32346.6
2004-08-01,33656.9
2004-09-01,34678.5
2004-10-01,35943.0
2004-11-01,35251.1
2004-12-01,35986.7
2005-01-01,37094.9
2005-02-01,36652.4
2005-03-01,38048.6
2005-04-01,37333.9
2005-05-01,35804.4
2005-06-01,39980.7
2005-07-01,42905.2
2005-08-01,41182.7
2005-09-01,41765.4
2005-10-01,44811.4
2005-11-01,47869.8
2005-12-01,50456.0
2006-01-01,52933.0
2006-02-01,56535.7
2006-03-01,58278.4
2006-04-01,59760.5
2006-05-01,59606.4
2006-06-01,56832.1
2006-07-01,57033.8
2006-08-01,57959.9
2006-09-01,58541.2
2006-10-01,57483.2
2006-11-01,58250.2
2006-12-01,60832.0
2007-01-01,63044.0
2007-02-01,64668.3
2007-03-01,67460.9
2007-04-01,67325.1
2007-05-01,66292.5
2007-06-01,68232.2
2007-07-01,69246.2
2007-08-01,71895.0
2007-09-01,71701.1
2007-10-01,72285.0
2007-11-01,72415.0
2007-12-01,73297.6
2008-01-01,74350.8
2008-02-01,74919.3
2008-03-01,76539.7
2008-04-01,74674.7
2008-05-01,74088.9
2008-06-01,75945.6
2008-07-01,75904.5
2008-08-01,75930.0
2008-09-01,77536.8
2008-10-01,72007.7
2008-11-01,71194.9
2008-12-01,71016.1
2009-01-01,67970.1
2009-02-01,67545.3
2009-03-01,67162.7
2009-04-01,64329.9
2009-05-01,67408.9
2009-06-01,65882.3
2009-07-01,66978.7
2009-08-01,70373.7
2009-09-01,70920.0
2009-10-01,71558.2
2009-11-01,71490.0
2009-12-01,70707.9
2010-01-01,70810.8
2010-02-01,67714.2
2010-03-01,69456.0
2010-04-01,73024.4
2010-05-01,72303.1
2010-06-01,71024.3
2010-07-01,74228.9
2010-08-01,76589.1
2010-09-01,77638.5
2010-10-01,79059.9
2010-11-01,79120.8
2010-12-01,80710.2
2011-01-01,82880.0
2011-02-01,83071.3
2011-03-01,86785.9
2011-04-01,90223.2
2011-05-01,91861.3
2011-06-01,93754.9
2011-07-01,93054.1
2011-08-01,89039.5
2011-09-01,87548.1
2011-10-01,84801.5
2011-11-01,85117.2
2011-12-01,78452.1
2012-01-01,76428.9
2012-02-01,78352.3
2012-03-01,80144.4
2012-04-01,80290.5
2012-05-01,78763.3
2012-06-01,83062.3
2012-07-01,85044.2
2012-08-01,93006.3
2012-09-01,94797.0
2012-10-01,99533.5
2012-11-01,100161.6
2012-12-01,99932.9
2013-01-01,104349.4
2013-02-01,104023.1
2013-03-01,105657.7
2013-04-01,113804.8
2013-05-01,108786.2
2013-06-01,105618.1
2013-07-01,104450.8
2013-08-01,108630.7
2013-09-01,109780.7
2013-10-01,112684.6
2013-11-01,114241.6
2013-12-01,110957.7
2014-01-01,104655.0
2014-02-01,106448.0
2014-03-01,105951.7
2014-04-01,109115.8
2014-05-01,110339.9
2014-06-01,111864.6
2014-07-01,111568.3
2014-08-01,112936.6
2014-09-01,111409.6
2014-10-01,112719.3
2014-11-01,113170.1
2014-12-01,106907.3
2015-01-01,109654.6
2015-02-01,108509.9
2015-03-01,101228.8
2015-04-01,103434.8
2015-05-01,101339.8
2015-06-01,100757.0
2015-07-01,102546.5
2015-08-01,102435.5
2015-09-01,101540.0
2015-10-01,100119.0
2015-11-01,99196.0
2015-12-01,92927.0
