Tarih,TP_AB_B3
2000-01-01,8942.6
2000-02-01,8296.3
2000-03-01,9816.6
2000-04-01,8578.9
2000-05-01,8451.3
2000-06-01,9269.6
2000-07-01,10575.4
2000-08-01,10146.4
2000-09-01,10714.6
2000-10-01,9970.2
2000-11-01,9730.8
2000-12-01,11006.9
2001-01-01,9804.8
2001-02-01,9679.7
2001-03-01,10756.1
2001-04-01,10227.1
2001-05-01,10989.6
2001-06-01,12275.5
2001-07-01,10976.3
2001-08-01,11623.3
2001-09-01,10937.1
2001-10-01,9399.8
2001-11-01,10629.1
2001-12-01,10392.4
2002-01-01,8697.8
2002-02-01,8628.4
2002-03-01,8365.8
2002-04-01,7331.8
2002-05-01,8965.6
2002-06-01,8713.4
2002-07-01,9414.8
2002-08-01,8814.0
2002-09-01,9170.8
2002-10-01,9651.1
2002-11-01,9540.0
2002-12-01,9980.2
2003-01-01,8483.2
2003-02-01,8041.3
2003-03-01,6032.6
2003-04-01,6305.3
2003-05-01,6455.0
2003-06-01,6938.2
2003-07-01,7800.1
2003-08-01,8418.9
2003-09-01,7791.2
2003-10-01,9137.1
2003-11-01,9094.1
2003-12-01,9794.5
2004-01-01,9177.1
2004-02-01,8112.7
2004-03-01,8678.0
2004-04-01,8500.3
2004-05-01,9219.5
2004-06-01,10158.2
2004-07-01,11471.4
2004-08-01,13717.5
2004-09-01,13523.8
2004-10-01,14279.2
2004-11-01,15907.9
2004-12-01,16145.0
2005-01-01,15253.5
2005-02-01,15178.3
2005-03-01,12767.3
2005-04-01,13431.1
2005-05-01,14923.6
2005-06-01,15967.5
2005-07-01,16266.1
2005-08-01,18684.6
2005-09-01,19445.3
2005-10-01,14702.1
2005-11-01,15812.8
2005-12-01,17616.0
2006-01-01,19366.7
2006-02-01,17822.6
2006-03-01,16271.8
2006-04-01,15295.3
2006-05-01,17871.3
2006-06-01,20277.3
2006-07-01,21585.7
2006-08-01,23249.6
2006-09-01,23260.8
2006-10-01,27953.6
2006-11-01,28496.1
2006-12-01,29150.8
2007-01-01,29366.3
2007-02-01,29359.6
2007-03-01,29580.9
2007-04-01,32299.8
2007-05-01,36787.0
2007-06-01,36568.8
2007-07-01,35898.6
2007-08-01,33275.3
2007-09-01,33796.3
2007-10-01,31303.7
2007-11-01,30753.4
2007-12-01,34577.7
2008-01-01,31562.9
2008-02-01,33606.2
2008-03-01,34471.4
2008-04-01,33788.7
2008-05-01,39228.9
2008-06-01,40790.4
2008-07-01,43231.9
2008-08-01,41598.6
2008-09-01,38470.1
2008-10-01,40433.3
2008-11-01,38079.9
2008-12-01,42662.9
2009-01-01,42282.8
2009-02-01,40383.6
2009-03-01,40283.2
2009-04-01,41394.1
2009-05-01,41240.3
2009-06-01,42674.1
2009-07-01,42804.1
2009-08-01,41343.7
2009-09-01,39546.4
2009-10-01,38334.4
2009-11-01,39028.5
2009-12-01,37397.1
2010-01-01,35668.7
2010-02-01,35146.3
2010-03-01,34050.6
2010-04-01,29965.5
2010-05-01,28665.8
2010-06-01,28609.8
2010-07-01,33036.3
2010-08-01,31674.8
2010-09-01,29350.3
2010-10-01,28261.8
2010-11-01,26156.3
2010-12-01,24042.7
2011-01-01,23529.2
2011-02-01,24958.2
2011-03-01,25544.6
2011-04-01,23338.5
2011-05-01,23118.7
2011-06-01,20626.7
2011-07-01,24162.4
2011-08-01,26034.1
2011-09-01,21482.8
2011-10-01,22567.0
2011-11-01,19287.8
2011-12-01,22164.2
2012-01-01,23814.2
2012-02-01,22087.0
2012-03-01,19502.2
2012-04-01,19607.8
2012-05-01,17805.7
2012-06-01,17703.8
2012-07-01,17526.2
2012-08-01,16190.9
2012-09-01,16106.4
2012-10-01,14575.1
2012-11-01,15532.1
2012-12-01,18325.5
2013-01-01,15466.3
2013-02-01,14783.4
2013-03-01,15164.1
2013-04-01,14934.4
2013-05-01,15491.9
2013-06-01,14768.8
2013-07-01,16035.5
2013-08-01,15775.0
2013-09-01,15561.6
2013-10-01,14969.8
2013-11-01,15017.8
2013-12-01,16845.9
2014-01-01,17424.0
2014-02-01,15577.6
2014-03-01,15640.0
2014-04-01,14624.4
2014-05-01,14562.3
2014-06-01,15834.7
2014-07-01,17760.7
2014-08-01,14620.7
2014-09-01,14889.5
2014-10-01,15994.5
2014-11-01,14673.8
2014-12-01,14510.2
2015-01-01,13389.1
2015-02-01,14948.0
2015-03-01,17442.3
2015-04-01,17884.6
2015-05-01,20904.5
2015-06-01,19527.5
2015-07-01,20349.7
2015-08-01,22091.6
2015-09-01,22546.5
2015-10-01,23757.8
2015-11-01,21309.5
2015-12-01,17508.8
2016-01-01,15737.8
2016-02-01,19186.9
2016-03-01,20727.3
2016-04-01,21257.3
2016-05-01,23505.1
2016-06-01,19045.0
2016-07-01,22089.3
2016-08-01,19340.8
2016-09-01,20450.2
2016-10-01,21132.7
2016-11-01,21630.7
2016-12-01,23413.5
2017-01-01,25566.2
2017-02-01,23526.6
2017-03-01,22987.7
2017-04-01,24044.8
2017-05-01,25262.7
2017-06-01,24891.6
2017-07-01,23327.1
2017-08-01,22953.9
2017-09-01,23105.7
2017-10-01,24400.5
2017-11-01,23957.6
2017-12-01,28429.2
2018-01-01,24463.6
2018-02-01,25185.2
2018-03-01,24278.4
2018-04-01,21543.8
2018-05-01,23547.3
2018-06-01,25867.6
2018-07-01,27919.9
2018-08-01,39243.4
2018-09-01,42332.8
2018-10-01,42840.4
2018-11-01,40051.4
2018-12-01,37406.9
2019-01-01,53115.0
2019-02-01,39161.6
2019-03-01,42602.8
2019-04-01,44595.5
2019-05-01,40808.0
2019-06-01,38797.0
2019-07-01,40494.4
2019-08-01,40621.5
2019-09-01,42078.7
2019-10-01,37753.8
2019-11-01,36855.7
2019-12-01,39162.4
2020-01-01,39201.2
2020-02-01,35302.5
2020-03-01,34892.8
2020-04-01,36495.3
2020-05-01,36988.3
2020-06-01,39969.8
2020-07-01,39066.0
2020-08-01,40964.6
2020-09-01,38678.2
2020-10-01,35895.3
2020-11-01,37241.2
2020-12-01,34435.8
2021-01-01,41512.7
2021-02-01,40640.7
2021-03-01,45653.8
2021-04-01,44042.3
2021-05-01,44867.3
2021-06-01,44005.0
2021-07-01,43497.4
2021-08-01,43303.3
2021-09-01,42949.4
2021-10-01,42966.0
2021-11-01,42021.7
2021-12-01,45505.4
2022-01-01,43299.1
2022-02-01,43696.0
2022-03-01,46174.8
2022-04-01,43188.4
2022-05-01,44904.8
2022-06-01,45129.2
2022-07-01,46132.4
2022-08-01,44135.2
2022-09-01,45959.4
2022-10-01,45459.4
2022-11-01,41327.3
2022-12-01,37675.7
2023-01-01,39780.2
2023-02-01,39628.1
2023-03-01,38705.3
2023-04-01,38974.5
2023-05-01,42077.6
2023-06-01,43746.4
2023-07-01,43062.0
2023-08-01,42949.4
2023-09-01,39155.0
2023-10-01,38644.6
2023-11-01,39328.7
2023-12-01,39638.5
2024-01-01,38403.8
2024-02-01,39253.9
2024-03-01,38861.5
2024-04-01,42044.5
2024-05-01,38216.0
2024-06-01,42228.6
2024-07-01,40796.1
2024-08-01,41619.4
2024-09-01,41382.1
2024-10-01,39293.3
2024-11-01,37981.4
2024-12-01,39440.0
2025-01-01,37392.5
2025-02-01,38799.2
2025-03-01,45158.0
2025-04-01,44166.4
2025-05-01,39376.7
2025-06-01,47111.2
2025-07-01,40871.5
