Tarih,TP_UNDNAKLIYE_TIT_DE_ADET
2016-05-01,9089.0
2016-06-01,9305.0
2016-07-01,7151.0
2016-08-01,7591.0
2016-09-01,7081.0
2016-10-01,8488.0
2016-11-01,8481.0
2016-12-01,8097.0
2017-01-01,6809.0
2017-02-01,8191.0
2017-03-01,8724.0
2017-04-01,8014.0
2017-05-01,8591.0
2017-06-01,8222.0
2017-07-01,8217.0
2017-08-01,7698.0
2017-09-01,8057.0
2017-10-01,8665.0
2017-11-01,8348.0
2017-12-01,8598.0
2018-01-01,7109.0
2018-02-01,7891.0
2018-03-01,8860.0
2018-04-01,8634.0
2018-05-01,8496.0
2018-06-01,8390.0
2018-07-01,8202.0
2018-08-01,6349.0
2018-09-01,6778.0
2018-10-01,7308.0
2018-11-01,6941.0
2018-12-01,7667.0
2019-01-01,6150.0
2019-02-01,6982.0
2019-03-01,7915.0
2019-04-01,7312.0
2019-05-01,7566.0
2019-06-01,6845.0
2019-07-01,8475.0
2019-08-01,7032.0
2019-09-01,7334.0
2019-10-01,8055.0
2019-11-01,7966.0
2019-12-01,8128.0
2020-01-01,5961.0
2020-02-01,7975.0
2020-03-01,8322.0
2020-04-01,5290.0
2020-05-01,5399.0
2020-06-01,6000.0
2020-07-01,7363.0
2020-08-01,7172.0
2020-09-01,8335.0
2020-10-01,8611.0
2020-11-01,8779.0
2020-12-01,8591.0
2021-01-01,6976.0
2021-02-01,8276.0
2021-03-01,9285.0
2021-04-01,8431.0
2021-05-01,7832.0
2021-06-01,8054.0
2021-07-01,8098.0
2021-08-01,8317.0
2021-09-01,8151.0
2021-10-01,8888.0
2021-11-01,9278.0
2021-12-01,9586.0
2022-01-01,8495.0
2022-02-01,8815.0
2022-03-01,10116.0
2022-04-01,9106.0
2022-05-01,9660.0
2022-06-01,9391.0
2022-07-01,9131.0
2022-08-01,8858.0
2022-09-01,9439.0
2022-10-01,10074.0
2022-11-01,9918.0
2022-12-01,10377.0
2023-01-01,9008.0
2023-02-01,9685.0
2023-03-01,10929.0
2023-04-01,10034.0
2023-05-01,10294.0
2023-06-01,9409.0
2023-07-01,8919.0
2023-08-01,9075.0
2023-09-01,7832.0
2023-10-01,8693.0
2023-11-01,8030.0
2023-12-01,8111.0
2024-01-01,6798.0
2024-02-01,6901.0
2024-03-01,7191.0
2024-04-01,6205.0
2024-05-01,6394.0
2024-06-01,6860.0
2024-07-01,7167.0
2024-08-01,6677.0
2024-09-01,6871.0
2024-10-01,6932.0
2024-11-01,6463.0
2024-12-01,7040.0
2025-01-01,5777.0
2025-02-01,6904.0
2025-03-01,7746.0
2025-04-01,6820.0
2025-05-01,7990.0
2025-06-01,7167.0
2025-07-01,7717.0
2025-08-01,6891.0
2025-09-01,6903.0
